case,source_battery,target_battery,scenario,n_train,n_val,n_test,top_k_features,input_dim,hidden_layers,output_dim,best_epoch,MAE,RMSE,R2,selected_features
A,B0005,B0005,A_random_B0005_60_20_20,99,33,34,8,8,"64,32",1,569,0.23239701416287564,0.3204383499166316,0.9987258997664628,time_to_3p6v_s; time_to_3p5v_s; time_to_3p7v_s; early_voltage_slope; global_cycle_index; cycle_index; time_to_3p8v_s; voltage_mean
A,B0006,B0006,A_random_B0006_60_20_20,99,33,33,8,8,"64,32",1,553,0.2060126404659314,0.23337314839559156,0.9996565994896999,time_to_3p6v_s; time_to_3p7v_s; time_to_3p5v_s; duration_s; avg_power_w; voltage_at_50pct_time; early_voltage_slope; current_mean
A,B0007,B0007,A_random_B0007_60_20_20,100,33,34,8,8,"64,32",1,409,0.23276496516711753,0.32955373352947176,0.9980713807319969,time_to_3p6v_s; time_to_3p7v_s; time_to_3p5v_s; early_voltage_slope; global_cycle_index; cycle_index; duration_s; time_to_3p8v_s
A,B0018,B0018,A_random_B0018_60_20_20,78,26,27,8,8,"64,32",1,589,0.21557115139336983,0.2963588341225409,0.9982410425909459,time_to_3p5v_s; time_to_3p6v_s; time_to_3p7v_s; duration_s; voltage_at_50pct_time; voltage_mean; voltage_at_25pct_time; voltage_at_75pct_time
B,B0005,B0005,B_chrono_B0005_first60_last40,80,19,67,8,8,"64,32",1,24,1.2773432101470106,1.3326047893755437,0.7805281777995665,time_to_3p5v_s; time_to_3p6v_s; early_voltage_slope; time_to_3p7v_s; voltage_end; global_cycle_index; temp_range; cycle_index
B,B0006,B0006,B_chrono_B0006_first60_last40,80,19,66,8,8,"64,32",1,39,0.655980377709276,0.7492593808954953,0.9637687142952279,time_to_3p5v_s; time_to_3p6v_s; time_to_3p7v_s; early_voltage_slope; voltage_mean; global_cycle_index; cycle_index; current_std
B,B0007,B0007,B_chrono_B0007_first60_last40,80,20,67,8,8,"64,32",1,229,0.8176969247793682,1.0155726559633955,0.8203640309226536,time_to_3p6v_s; time_to_3p7v_s; early_voltage_slope; time_to_3p5v_s; global_cycle_index; cycle_index; duration_s; time_to_3p8v_s
B,B0018,B0018,B_chrono_B0018_first60_last40,63,15,53,8,8,"64,32",1,156,0.3972372491312687,0.45445621709312045,0.9264043886326825,duration_s; avg_power_w; time_to_3p5v_s; current_mean; current_abs_mean; time_to_3p6v_s; current_std; early_voltage_slope
C,B0005,B0006,C_transfer_B0005_to_B0006_target10,149,33,149,8,8,"64,32",1,34,5.6789225465449045,6.105550837859345,0.6920631040927934,time_to_3p6v_s; early_voltage_slope; time_to_3p5v_s; time_to_3p7v_s; cycle_index; global_cycle_index; duration_s; voltage_mean
C,B0005,B0007,C_transfer_B0005_to_B0007_target10,149,33,151,8,8,"64,32",1,10,2.0611188770660007,2.9316914744520854,0.8472985217663873,time_to_3p6v_s; time_to_3p5v_s; time_to_3p7v_s; early_voltage_slope; global_cycle_index; cycle_index; time_to_3p8v_s; voltage_at_50pct_time
