feature,pcc,abs_pcc,rank,selected,scenario,case,source_battery,target_battery
time_to_3p6v_s,0.9985856718987393,0.9985856718987393,1,True,A_random_B0005_60_20_20,A,B0005,B0005
time_to_3p5v_s,0.998420161513043,0.998420161513043,2,True,A_random_B0005_60_20_20,A,B0005,B0005
time_to_3p7v_s,0.9973128028029065,0.9973128028029065,3,True,A_random_B0005_60_20_20,A,B0005,B0005
early_voltage_slope,0.995260086255425,0.995260086255425,4,True,A_random_B0005_60_20_20,A,B0005,B0005
global_cycle_index,-0.988591280913688,0.988591280913688,5,True,A_random_B0005_60_20_20,A,B0005,B0005
cycle_index,-0.9868581673633693,0.9868581673633693,6,True,A_random_B0005_60_20_20,A,B0005,B0005
time_to_3p8v_s,0.9846391259470847,0.9846391259470847,7,True,A_random_B0005_60_20_20,A,B0005,B0005
voltage_mean,0.9800738744320454,0.9800738744320454,8,True,A_random_B0005_60_20_20,A,B0005,B0005
voltage_at_50pct_time,0.9795231304419191,0.9795231304419191,9,False,A_random_B0005_60_20_20,A,B0005,B0005
temp_range,-0.9782017599518555,0.9782017599518555,10,False,A_random_B0005_60_20_20,A,B0005,B0005
voltage_at_25pct_time,0.9781969514537996,0.9781969514537996,11,False,A_random_B0005_60_20_20,A,B0005,B0005
time_to_3p9v_s,0.9752644785275968,0.9752644785275968,12,False,A_random_B0005_60_20_20,A,B0005,B0005
duration_s,0.9748199671571448,0.9748199671571448,13,False,A_random_B0005_60_20_20,A,B0005,B0005
early_voltage_mean,0.9714315958824767,0.9714315958824767,14,False,A_random_B0005_60_20_20,A,B0005,B0005
voltage_at_75pct_time,0.965174144542716,0.965174144542716,15,False,A_random_B0005_60_20_20,A,B0005,B0005
voltage_end,-0.9641531619279324,0.9641531619279324,16,False,A_random_B0005_60_20_20,A,B0005,B0005
avg_power_w,0.9464831861169409,0.9464831861169409,17,False,A_random_B0005_60_20_20,A,B0005,B0005
temp_at_75pct_time,-0.9338419905135877,0.9338419905135877,18,False,A_random_B0005_60_20_20,A,B0005,B0005
current_abs_mean,0.9321399781884601,0.9321399781884601,19,False,A_random_B0005_60_20_20,A,B0005,B0005
current_mean,-0.9321258844062092,0.9321258844062092,20,False,A_random_B0005_60_20_20,A,B0005,B0005
temp_max,-0.9176073327080946,0.9176073327080946,21,False,A_random_B0005_60_20_20,A,B0005,B0005
current_std,-0.9148738629292463,0.9148738629292463,22,False,A_random_B0005_60_20_20,A,B0005,B0005
voltage_slope,-0.91287665645972,0.91287665645972,23,False,A_random_B0005_60_20_20,A,B0005,B0005
time_to_4p0v_s,0.8360509539702327,0.8360509539702327,24,False,A_random_B0005_60_20_20,A,B0005,B0005
temp_at_50pct_time,-0.8009399762661426,0.8009399762661426,25,False,A_random_B0005_60_20_20,A,B0005,B0005
temp_mean,-0.7655616171973543,0.7655616171973543,26,False,A_random_B0005_60_20_20,A,B0005,B0005
time_to_4p1v_s,0.6620757836913695,0.6620757836913695,27,False,A_random_B0005_60_20_20,A,B0005,B0005
temp_end,0.6012126916894366,0.6012126916894366,28,False,A_random_B0005_60_20_20,A,B0005,B0005
temp_rise,0.5751658222040528,0.5751658222040528,29,False,A_random_B0005_60_20_20,A,B0005,B0005
voltage_min,-0.4548756417591294,0.4548756417591294,30,False,A_random_B0005_60_20_20,A,B0005,B0005
voltage_std,-0.3586141211077052,0.3586141211077052,31,False,A_random_B0005_60_20_20,A,B0005,B0005
voltage_max,-0.21222780012162829,0.21222780012162829,32,False,A_random_B0005_60_20_20,A,B0005,B0005
