scenario,case,source_battery,target_battery,n_train_with_cycle_index,n_val_with_cycle_index,n_test_with_cycle_index,MAE_with_cycle_index,RMSE_with_cycle_index,R2_with_cycle_index,n_train_without_cycle_index,n_val_without_cycle_index,n_test_without_cycle_index,MAE_without_cycle_index,RMSE_without_cycle_index,R2_without_cycle_index,MAE_delta_without_minus_with,RMSE_delta_without_minus_with,R2_delta_without_minus_with
C_transfer_B0005_to_B0006_target10,C,B0005,B0006,149,33,149,5.6789225465449045,6.105550837859345,0.6920631040927934,149,33,149,9.508266124704315,10.466665218519148,0.09504144353321253,3.8293435781594107,4.361114380659804,-0.5970216605595808
C_transfer_B0005_to_B0007_target10,C,B0005,B0007,149,33,151,2.0611188770660007,2.9316914744520854,0.8472985217663873,149,33,151,1.368326698893236,1.540877949608454,0.9578164433572892,-0.6927921781727646,-1.3908135248436315,0.1105179215909019
C_transfer_B0005_to_B0018_target10,C,B0005,B0018,146,33,118,1.228903633405027,1.3947752868938037,0.9562894300516331,146,33,118,1.2559717558997134,2.053911583872806,0.9052145949402688,0.027068122494686486,0.6591362969790022,-0.05107483511136435
C_transfer_B0006_to_B0005_target10,C,B0006,B0005,148,33,150,6.497829063151504,6.758705943786032,0.4304361048790547,148,33,150,6.497829063151504,6.758705943786032,0.4304361048790547,0.0,0.0,0.0
C_transfer_B0006_to_B0007_target10,C,B0006,B0007,148,33,151,6.0841790512957035,6.377286627647845,0.27743222871503326,148,33,151,6.0841790512957035,6.377286627647845,0.27743222871503326,0.0,0.0,0.0
C_transfer_B0006_to_B0018_target10,C,B0006,B0018,145,33,118,4.721893924633327,4.7562887996990995,0.491706664369266,145,33,118,4.721893924633327,4.7562887996990995,0.491706664369266,0.0,0.0,0.0
C_transfer_B0007_to_B0005_target10,C,B0007,B0005,150,33,150,1.049334786965668,1.2403381382037981,0.9808179268224069,150,33,150,0.5399060801671777,0.7965706438981979,0.992088406907812,-0.5094287067984903,-0.44376749430560025,0.011270480085405099
C_transfer_B0007_to_B0006_target10,C,B0007,B0006,150,33,149,1.626208721907933,1.9662469776268325,0.9680634381349803,150,33,149,6.56601106615972,6.807595449413392,0.617175694988552,4.939802344251786,4.841348471786559,-0.35088774314642834
C_transfer_B0007_to_B0018_target10,C,B0007,B0018,147,33,118,1.3024035345256415,1.5022895825733236,0.9492909711624608,147,33,118,1.7636406893469985,2.118919055763517,0.8991196186963298,0.46123715482135696,0.6166294731901933,-0.050171352466130914
C_transfer_B0018_to_B0005_target10,C,B0018,B0005,121,26,150,0.7190923159285566,0.9679011632800351,0.9883190713355078,121,26,150,1.068695741443324,1.2528536260899776,0.9804288648215949,0.3496034255147674,0.2849524628099426,-0.007890206513912923
C_transfer_B0018_to_B0006_target10,C,B0018,B0006,121,26,149,6.762666083577269,6.9490497449148485,0.6011010755282415,121,26,149,6.762666083577269,6.9490497449148485,0.6011010755282415,0.0,0.0,0.0
C_transfer_B0018_to_B0007_target10,C,B0018,B0007,121,26,151,0.9201589082833431,0.995596639519431,0.9823894241494012,121,26,151,1.1274505698744082,1.2705568652789365,0.971318957863729,0.20729166159106505,0.2749602257595055,-0.01107046628567221
