scenario,case,source_battery,target_battery,split,n,batteries_in_split,cycle_min,cycle_max,soh_min,soh_max
A_random_B0005_60_20_20,A,B0005,B0005,train,100,B0005,0,167,64.37262610689703,92.82437104090788
A_random_B0005_60_20_20,A,B0005,B0005,validation,34,B0005,4,164,64.4001696309559,92.59012758352243
A_random_B0005_60_20_20,A,B0005,B0005,test,34,B0005,2,161,64.89435403247853,91.76745971117039
A_random_B0006_60_20_20,A,B0006,B0006,train,100,B0006,0,167,57.6909165798125,101.7668795502799
A_random_B0006_60_20_20,A,B0006,B0006,validation,34,B0006,4,164,58.220047786861315,100.65505528134835
A_random_B0006_60_20_20,A,B0006,B0006,test,34,B0006,2,161,58.983534090723126,100.6663185672732
A_random_B0007_60_20_20,A,B0007,B0007,train,100,B0007,0,167,70.02276199533257,94.5526147695395
A_random_B0007_60_20_20,A,B0007,B0007,validation,34,B0007,4,164,70.31679239846461,94.17338718975424
A_random_B0007_60_20_20,A,B0007,B0007,test,34,B0007,2,161,70.54200864712588,94.03313358505694
A_random_B0018_60_20_20,A,B0018,B0018,train,79,B0018,1,131,67.05257203202424,92.15977658544993
A_random_B0018_60_20_20,A,B0018,B0018,validation,26,B0018,0,128,68.17025566964037,92.75022603955408
A_random_B0018_60_20_20,A,B0018,B0018,test,27,B0018,4,127,68.13685889548219,91.63501034709827
B_chrono_B0005_first60_last40,B,B0005,B0005,train,80,B0005,0,79,78.24509975468973,92.82437104090788
B_chrono_B0005_first60_last40,B,B0005,B0005,validation,20,B0005,80,99,74.29341922806006,80.29094495653295
B_chrono_B0005_first60_last40,B,B0005,B0005,test,68,B0005,100,167,64.37262610689703,74.80459149068348
B_chrono_B0006_first60_last40,B,B0006,B0006,train,80,B0006,0,79,74.3816151224871,101.7668795502799
B_chrono_B0006_first60_last40,B,B0006,B0006,validation,20,B0006,80,99,71.5605372480387,79.67933296550063
B_chrono_B0006_first60_last40,B,B0006,B0006,test,68,B0006,100,167,57.6909165798125,72.61279021654194
B_chrono_B0007_first60_last40,B,B0007,B0007,train,80,B0007,0,79,81.0606641493618,94.5526147695395
B_chrono_B0007_first60_last40,B,B0007,B0007,validation,20,B0007,80,99,78.4899242324434,84.44105580927753
B_chrono_B0007_first60_last40,B,B0007,B0007,test,68,B0007,100,167,70.02276199533257,78.7489749921135
B_chrono_B0018_first60_last40,B,B0018,B0018,train,64,B0018,0,63,77.01022639318698,92.75022603955408
B_chrono_B0018_first60_last40,B,B0018,B0018,validation,15,B0018,64,78,72.9046177855951,76.6713100015621
B_chrono_B0018_first60_last40,B,B0018,B0018,test,53,B0018,79,131,67.05257203202424,73.49057662262062
C_transfer_B0007_to_B0005_target10,C,B0007,B0005,train,151,"B0005,B0007",0,134,73.84855898875296,94.5526147695395
C_transfer_B0007_to_B0005_target10,C,B0007,B0005,validation,33,B0007,135,167,70.02276199533257,73.85577656406076
C_transfer_B0007_to_B0005_target10,C,B0007,B0005,test,152,B0005,16,167,64.37262610689703,92.59012758352243
C_transfer_B0007_to_B0006_target10,C,B0007,B0006,train,151,"B0006,B0007",0,134,73.84855898875296,101.7668795502799
C_transfer_B0007_to_B0006_target10,C,B0007,B0006,validation,33,B0007,135,167,70.02276199533257,73.85577656406076
C_transfer_B0007_to_B0006_target10,C,B0007,B0006,test,152,B0006,16,167,57.6909165798125,98.98132741254089
C_transfer_B0005_to_B0007_target10,C,B0005,B0007,train,151,"B0005,B0007",0,134,68.23677554340759,94.5526147695395
C_transfer_B0005_to_B0007_target10,C,B0005,B0007,validation,33,B0005,135,167,64.37262610689703,68.23913974630379
C_transfer_B0005_to_B0007_target10,C,B0005,B0007,test,152,B0007,16,167,70.02276199533257,94.17338718975424
C_transfer_B0005_to_B0018_target10,C,B0005,B0018,train,148,"B0005,B0018",0,134,68.23677554340759,92.82437104090788
C_transfer_B0005_to_B0018_target10,C,B0005,B0018,validation,33,B0005,135,167,64.37262610689703,68.23913974630379
C_transfer_B0005_to_B0018_target10,C,B0005,B0018,test,119,B0018,13,131,67.05257203202424,89.1735361420963
