case,source_battery,target_battery,scenario,n_train,n_val,n_test,top_k_features,input_dim,hidden_layers,output_dim,best_epoch,MAE,RMSE,R2,selected_features
A,B0005,B0005,A_random_B0005_60_20_20,100,34,34,8,8,"64,32",1,406,0.15518024270705955,0.19087240828143998,0.9995349012743554,time_to_3p6v_s; time_to_3p5v_s; time_to_3p7v_s; early_voltage_slope; global_cycle_index; cycle_index; time_to_3p8v_s; voltage_mean
A,B0006,B0006,A_random_B0006_60_20_20,100,34,34,8,8,"64,32",1,274,0.19058269490803886,0.21976915540971048,0.999622078611529,time_to_3p6v_s; time_to_3p7v_s; duration_s; time_to_3p5v_s; avg_power_w; voltage_at_50pct_time; current_mean; current_abs_mean
A,B0007,B0007,A_random_B0007_60_20_20,100,34,34,8,8,"64,32",1,408,0.17597728284834596,0.24758889832655806,0.9989061954328189,time_to_3p6v_s; time_to_3p5v_s; time_to_3p7v_s; early_voltage_slope; global_cycle_index; cycle_index; duration_s; time_to_3p8v_s
A,B0018,B0018,A_random_B0018_60_20_20,79,26,27,8,8,"64,32",1,600,0.2109293786756565,0.30837681516918247,0.9982453448277174,time_to_3p5v_s; time_to_3p6v_s; time_to_3p7v_s; duration_s; voltage_at_50pct_time; voltage_mean; voltage_at_25pct_time; voltage_at_75pct_time
B,B0005,B0005,B_chrono_B0005_first60_last40,80,20,68,8,8,"64,32",1,70,0.43144033255472786,0.48112837067537884,0.9724189472604685,time_to_3p5v_s; time_to_3p6v_s; early_voltage_slope; time_to_3p7v_s; voltage_end; global_cycle_index; cycle_index; temp_range
B,B0006,B0006,B_chrono_B0006_first60_last40,80,20,68,8,8,"64,32",1,178,2.539394045212323,2.99509293973928,0.43734762037686525,time_to_3p5v_s; time_to_3p6v_s; time_to_3p7v_s; early_voltage_slope; voltage_mean; global_cycle_index; current_std; cycle_index
B,B0007,B0007,B_chrono_B0007_first60_last40,80,20,68,8,8,"64,32",1,450,0.7491512443353332,0.9314227836817836,0.8534360291596372,time_to_3p6v_s; time_to_3p7v_s; early_voltage_slope; time_to_3p5v_s; global_cycle_index; cycle_index; duration_s; time_to_3p8v_s
B,B0018,B0018,B_chrono_B0018_first60_last40,64,15,53,8,8,"64,32",1,420,0.24882852632012514,0.3027607973746844,0.9673361705014947,duration_s; avg_power_w; time_to_3p5v_s; current_mean; current_abs_mean; time_to_3p6v_s; current_std; early_voltage_slope
C,B0007,B0005,C_transfer_B0007_to_B0005_target10,151,33,152,8,8,"64,32",1,24,1.218731664599315,1.3090226731104746,0.9787826081652323,time_to_3p6v_s; time_to_3p5v_s; time_to_3p7v_s; early_voltage_slope; global_cycle_index; cycle_index; duration_s; time_to_3p8v_s
C,B0007,B0006,C_transfer_B0007_to_B0006_target10,151,33,152,8,8,"64,32",1,22,4.156171457646984,4.62668712983462,0.8244148026601313,early_voltage_slope; time_to_3p6v_s; cycle_index; global_cycle_index; time_to_3p5v_s; duration_s; time_to_3p7v_s; voltage_at_50pct_time
C,B0005,B0007,C_transfer_B0005_to_B0007_target10,151,33,152,8,8,"64,32",1,10,2.0187154096657425,2.8973020644894616,0.8500800227410565,time_to_3p6v_s; time_to_3p5v_s; time_to_3p7v_s; early_voltage_slope; global_cycle_index; cycle_index; time_to_3p8v_s; voltage_at_50pct_time
C,B0005,B0018,C_transfer_B0005_to_B0018_target10,148,33,119,8,8,"64,32",1,10,1.2333552254689986,1.3884790701496637,0.9567667150864008,early_voltage_slope; time_to_3p6v_s; time_to_3p5v_s; time_to_3p7v_s; global_cycle_index; cycle_index; voltage_at_50pct_time; voltage_at_25pct_time
