channels,fitness,val_acc,train_acc,val_loss,train_loss,params,flops,params_ratio,flops_ratio,params_compression_rate,flops_reduction_rate,below_baseline_short_by,penalty,eval_time_sec,epochs,inherited
12-12-12-12-12-24-20-32-32-24-48-40-56-64-40,-418.80551607532766,12.540000048828125,15.219999996948243,2.636976190185547,3.5810984790802003,294406,43205008,0.6342851725935789,0.6274089711871432,0.36571482740642114,0.3725910288128568,84.38000010986329,421.9000005493165,39.57025980949402,1,True
16-16-16-12-16-28-28-32-24-32-56-40-48-56-48,-435.9542884382545,9.959999987792969,16.170000173950196,2.8763023628234863,4.22398595123291,308682,53637600,0.6650422058196203,0.7789076542457187,0.33495779418037974,0.22109234575428127,86.96000017089844,434.80000085449217,26.537638664245605,1,True
16-12-12-12-16-24-28-28-28-32-56-48-40-40-48,-424.1727015437514,11.69999998626709,16.400000204467773,2.6460345809936525,4.126133672714233,274586,46928352,0.5915838277812967,0.681478152899037,0.4084161722187033,0.318521847100963,85.22000017242432,426.1000008621216,4.5712058544158936,1,True
16-12-12-16-12-28-28-20-28-20-40-64-64-40-64,-427.8887369390272,11.19999997253418,13.680000009155274,2.5502669914245604,4.601950490188599,326394,48016000,0.7032019545237141,0.6972726208156672,0.29679804547628585,0.3027273791843328,85.72000018615722,428.6000009307861,10.397095918655396,1,True
12-12-16-12-12-32-32-20-20-28-48-64-40-48-56,-427.1075265983366,11.219999993896485,15.609999963378906,2.41575623626709,3.96783907699585,302534,45232688,0.6517966019898568,0.6568542758309185,0.3482033980101432,0.3431457241690815,85.70000016479493,428.50000082397463,8.514665126800537,1,True
12-16-12-12-16-24-24-28-20-28-48-48-56-56-56,-430.8948788411799,10.620000105285644,16.010000119018553,2.375214055633545,4.577697157669068,311478,45859376,0.6710660685893044,0.6659548336490151,0.3289339314106956,0.3340451663509849,86.30000005340577,431.50000026702884,0.37424278259277344,1,True
12-16-16-12-12-28-24-28-24-32-64-56-56-56-48,-429.457075954967,11.059999952697753,15.090000009155274,2.626782823562622,4.602738172912598,354998,50909664,0.7648280527583518,0.7392934613904745,0.23517194724164825,0.26070653860952553,85.86000020599366,429.30000102996826,5.045269727706909,1,True
16-16-12-16-12-24-20-20-24-28-64-48-56-40-56,-422.7043472922053,12.000000048828126,13.030000033569335,2.7722373001098632,4.015643929672241,304378,47002160,0.6557694213558432,0.6825499684937796,0.34423057864415685,0.3174500315062204,84.92000010986328,424.6000005493164,6.761286020278931,1,True
16-16-12-12-12-24-20-20-32-28-48-40-56-40-56,-419.78335773343906,12.35999994506836,17.25000021057129,3.677017106628418,4.167783254623413,269018,44384816,0.5795878092184922,0.6445417564299641,0.4204121907815078,0.35545824357003586,84.56000021362306,422.8000010681153,2.1869263648986816,1,True
12-12-16-12-12-32-32-32-32-24-48-64-56-48-56,-436.08895638042475,9.980000015258788,16.70999999694824,2.680261722946167,4.475819634246826,351206,52236848,0.7566583504612693,0.7585663926214105,0.24334164953873072,0.24143360737858954,86.94000014343263,434.7000007171631,0.3559610843658447,1,True
12-16-12-12-16-24-28-28-20-20-56-48-56-40-56,-432.45725551339115,10.280000028991699,13.400000082397462,2.470141399765015,4.588707402801513,289254,44218928,0.6231854082912137,0.6421327852428209,0.3768145917087863,0.3578672147571791,86.64000012969971,433.2000006484986,2.0831525325775146,1,True
16-16-12-16-12-24-20-20-24-32-64-48-56-40-56,-421.81574579580894,12.180000103759765,14.500000109863281,2.4309882919311523,4.469158508300781,309722,47923760,0.6672828414707188,0.6959331417556864,0.3327171585292812,0.30406685824431356,84.74000005493164,423.70000027465824,0.3415400981903076,1,True
16-16-16-12-12-24-28-20-24-32-64-40-48-40-56,-423.62962499067095,11.839999966430664,16.679999966430664,3.9646128280639648,4.24362559928894,288234,47960624,0.6209878617872516,0.6964684686861627,0.3790121382127484,0.30353153131383726,85.08000019226074,425.4000009613037,0.3547041416168213,1,True
12-12-12-12-12-24-20-32-32-24-48-40-56-64-56,-397.79027681828757,16.120000006103517,16.210000204467775,2.600419727706909,4.362818486022949,317670,44679728,0.6844064685427681,0.6488243718737744,0.3155935314572319,0.3511756281262256,80.8000001525879,404.0000007629395,0.3766498565673828,1,True
