generation,best_channels,best_fitness,best_acc,best_params_ratio,best_flops_ratio
1,8-16-32,23.348616,30.9000,0.251817,0.251608
1,8-16-32,25.098616,32.6500,0.251817,0.251608
1,8-16-32,26.898616,34.4500,0.251817,0.251608
1,8-16-32,24.698616,32.2500,0.251817,0.251608
2,8-16-32,23.348616,30.9000,0.251817,0.251608
2,8-16-32,25.098616,32.6500,0.251817,0.251608
2,8-16-32,26.898616,34.4500,0.251817,0.251608
2,8-16-32,24.698616,32.2500,0.251817,0.251608
3,8-16-32,23.348616,30.9000,0.251817,0.251608
3,8-16-32,25.098616,32.6500,0.251817,0.251608
4,8-16-32,23.348616,30.9000,0.251817,0.251608
4,8-16-32,25.098616,32.6500,0.251817,0.251608
3,8-16-32,26.898616,34.4500,0.251817,0.251608
4,8-16-32,26.898616,34.4500,0.251817,0.251608
3,8-16-32,24.698616,32.2500,0.251817,0.251608
5,8-16-32,23.348616,30.9000,0.251817,0.251608
5,8-16-32,25.098616,32.6500,0.251817,0.251608
5,8-16-32,26.898616,34.4500,0.251817,0.251608
4,8-16-32,24.698616,32.2500,0.251817,0.251608
5,8-16-32,24.698616,32.2500,0.251817,0.251608
