iteration,best_channels,best_fitness,best_acc,best_params_ratio,best_flops_ratio
1,8-16-40,22.779356,32.5500,0.355335,0.296042
1,12-24-32,23.907911,35.8500,0.332006,0.464133
1,8-16-40,24.479356,34.2500,0.355335,0.296042
1,8-20-48,21.895245,35.5000,0.510835,0.396149
2,8-16-40,24.479356,34.2500,0.355335,0.296042
2,8-16-40,22.779356,32.5500,0.355335,0.296042
3,8-20-32,25.740009,34.4000,0.280222,0.297111
4,8-20-32,25.740009,34.4000,0.280222,0.297111
5,8-20-32,25.740009,34.4000,0.280222,0.297111
2,12-24-32,23.907911,35.8500,0.332006,0.464133
3,8-20-32,25.640009,34.3000,0.280222,0.297111
4,8-16-32,26.898616,34.4500,0.251817,0.251608
5,8-16-32,26.898616,34.4500,0.251817,0.251608
3,12-24-32,23.907911,35.8500,0.332006,0.464133
4,12-24-32,23.907911,35.8500,0.332006,0.464133
5,12-24-32,23.907911,35.8500,0.332006,0.464133
2,8-20-48,21.895245,35.5000,0.510835,0.396149
3,8-20-48,21.895245,35.5000,0.510835,0.396149
4,8-20-48,21.895245,35.5000,0.510835,0.396149
5,8-20-48,21.895245,35.5000,0.510835,0.396149
