epoch,lr,train_loss,train_acc,test_loss,test_acc,epoch_time_sec
1,0.1,1.702270,35.6320,1.612781,44.3100,30.66
2,0.1,1.213023,55.9180,1.386352,53.3600,11.23
3,0.1,0.999691,64.2980,1.247857,56.9200,11.10
4,0.1,0.858289,69.6340,1.444288,56.5200,11.24
5,0.1,0.760633,73.4880,0.960821,68.8400,11.28
6,0.1,0.688071,76.0040,0.659753,77.2400,11.21
7,0.1,0.640060,77.7280,0.814859,74.1700,11.09
8,0.1,0.607541,78.8880,0.743264,75.1500,10.37
9,0.1,0.580210,79.8480,0.883274,72.3300,9.39
10,0.1,0.556005,80.6340,0.602536,79.6300,9.41
11,0.1,0.531499,81.4780,0.858331,74.6100,9.52
12,0.1,0.515616,82.1340,0.793597,75.1900,9.80
13,0.1,0.499343,82.7540,0.767712,76.5700,9.47
14,0.1,0.483266,83.2060,0.525272,82.3800,9.31
15,0.1,0.474658,83.5260,0.602849,80.2500,9.59
16,0.1,0.464897,83.9100,0.626668,79.1700,9.14
17,0.1,0.452171,84.2740,0.637076,79.7000,9.52
18,0.1,0.446829,84.6260,0.599418,80.6300,9.65
19,0.1,0.433108,84.9800,0.725697,78.0200,9.43
20,0.1,0.434492,84.9740,0.578523,81.1700,9.18
21,0.1,0.423410,85.2740,0.678974,79.3700,9.47
22,0.1,0.415568,85.5380,0.526723,82.6300,9.42
23,0.1,0.408814,85.8520,0.689605,79.2600,9.80
24,0.1,0.405165,86.0420,0.567583,81.8900,10.08
25,0.1,0.399263,86.1740,0.555921,81.2000,9.22
26,0.1,0.393042,86.3880,0.582059,81.4400,9.38
27,0.1,0.385340,86.7560,0.730064,78.0100,9.39
28,0.1,0.383276,86.7680,0.621309,80.8600,9.63
29,0.1,0.375183,86.9280,0.589624,80.4300,9.81
30,0.1,0.376024,86.9440,0.847591,76.0800,9.21
31,0.1,0.368931,87.1720,0.695540,79.6400,9.84
32,0.1,0.369336,87.1180,0.692849,79.5700,9.80
33,0.1,0.364230,87.3820,0.539744,82.4700,9.88
34,0.1,0.362876,87.2760,0.522847,82.2600,9.63
35,0.1,0.358131,87.4220,0.546250,82.9400,9.65
36,0.1,0.351008,87.8500,0.609959,80.3400,9.97
37,0.1,0.351495,87.7700,0.535217,82.1600,9.75
38,0.1,0.346207,87.9460,0.484304,83.6500,9.66
39,0.1,0.343971,88.1220,0.529735,82.5400,9.78
40,0.1,0.345639,88.0740,0.485344,84.1300,9.53
41,0.010000000000000002,0.249350,91.3800,0.333541,88.8200,9.81
42,0.010000000000000002,0.218033,92.4460,0.323404,89.3300,9.97
43,0.010000000000000002,0.208251,92.8360,0.331580,89.2000,9.88
44,0.010000000000000002,0.200497,93.0440,0.322207,89.4700,9.55
45,0.010000000000000002,0.194192,93.3140,0.324647,89.7100,9.96
46,0.010000000000000002,0.186644,93.5680,0.324899,89.5500,9.47
47,0.010000000000000002,0.185532,93.6260,0.326540,89.4600,9.68
48,0.010000000000000002,0.180488,93.8160,0.336093,89.2300,9.26
49,0.010000000000000002,0.177986,93.8560,0.329670,89.6200,9.73
50,0.010000000000000002,0.175702,93.8260,0.325435,89.4800,9.44
51,0.010000000000000002,0.170855,94.0480,0.333767,89.3800,9.46
52,0.010000000000000002,0.167061,94.2060,0.333239,89.6400,9.60
53,0.010000000000000002,0.166008,94.1900,0.332148,89.6700,9.51
54,0.010000000000000002,0.163624,94.3520,0.325639,89.5600,9.53
55,0.010000000000000002,0.157574,94.4820,0.338996,89.5700,9.69
56,0.010000000000000002,0.157669,94.4500,0.341486,89.3700,9.39
57,0.010000000000000002,0.157229,94.4460,0.336219,89.6800,9.37
58,0.010000000000000002,0.152577,94.7760,0.344226,89.4800,9.67
59,0.010000000000000002,0.150669,94.7240,0.338892,89.5700,9.55
60,0.010000000000000002,0.152478,94.5340,0.346812,89.4500,9.66
61,0.0010000000000000002,0.139733,95.0780,0.337908,89.6200,10.44
62,0.0010000000000000002,0.135675,95.4020,0.329469,90.0000,11.71
63,0.0010000000000000002,0.133799,95.3560,0.331035,89.9800,11.28
64,0.0010000000000000002,0.132454,95.4200,0.331499,89.8600,11.03
65,0.0010000000000000002,0.132352,95.4020,0.330785,89.7900,11.58
66,0.0010000000000000002,0.130961,95.5920,0.332220,89.7800,25.66
67,0.0010000000000000002,0.130011,95.5060,0.330929,89.7700,12.38
68,0.0010000000000000002,0.128426,95.5660,0.331995,89.9900,11.57
69,0.0010000000000000002,0.128839,95.5520,0.332676,89.7700,12.91
70,0.0010000000000000002,0.127856,95.5760,0.332123,89.7700,13.75
71,0.0010000000000000002,0.125589,95.6500,0.334786,89.8800,12.88
72,0.0010000000000000002,0.127290,95.5800,0.333169,89.8500,11.64
73,0.0010000000000000002,0.130193,95.5560,0.333066,89.8400,13.01
74,0.0010000000000000002,0.126391,95.6100,0.334265,89.8300,13.93
75,0.0010000000000000002,0.121897,95.8500,0.336917,89.8800,13.69
76,0.0010000000000000002,0.126947,95.7280,0.332259,89.9700,13.52
77,0.0010000000000000002,0.126792,95.5920,0.333276,89.9400,13.46
78,0.0010000000000000002,0.123264,95.7320,0.336258,89.8700,12.28
79,0.0010000000000000002,0.123191,95.7840,0.336439,89.9400,10.04
80,0.0010000000000000002,0.124833,95.5800,0.337054,89.8600,7.42
