epoch,lr,train_loss,train_acc,test_loss,test_acc,epoch_time_sec
1,0.8,3.284157,9.8440,2.310791,9.8200,25.19
2,0.8,2.304612,10.1080,2.303994,10.0000,8.93
3,0.8,2.304717,10.0920,2.303592,10.0000,9.88
4,0.8,2.304172,9.9500,2.302984,10.0400,9.47
5,0.8,2.304550,9.6660,2.302385,10.0500,9.51
6,0.8,2.304624,10.2620,2.302815,10.0000,9.84
7,0.8,2.304000,10.0680,2.303564,10.0000,10.10
8,0.8,2.304103,9.9840,2.304798,10.0000,9.44
9,0.8,2.304651,9.6840,2.303102,10.0000,9.29
10,0.8,2.304272,10.1280,2.306262,10.0100,9.51
11,0.8,2.304516,9.9020,2.303303,10.0300,9.62
12,0.8,2.304519,10.0760,2.304532,10.0000,9.55
13,0.8,2.303973,10.0460,2.303537,10.0000,9.13
14,0.8,2.304613,9.9820,2.303205,10.0000,9.31
15,0.8,2.304649,10.0000,2.305247,10.0000,9.47
16,0.8,2.304473,10.0640,2.304459,10.0000,9.24
17,0.8,2.304762,10.1660,2.304523,10.0500,9.34
18,0.8,2.305234,9.7900,2.306201,10.0100,9.05
19,0.8,2.303780,9.9960,2.302688,10.1400,9.43
20,0.8,2.302906,10.2540,2.302966,10.0000,9.33
21,0.8,2.297510,11.1680,2.301560,10.8100,9.00
22,0.8,2.250369,14.1480,2.195649,17.0800,9.38
23,0.8,2.001714,20.0840,1.944957,20.7700,9.35
24,0.8,1.921859,21.1020,1.908326,19.2700,9.31
25,0.8,1.884125,23.6420,1.917457,24.3300,9.91
26,0.8,1.776232,29.8400,2.232892,21.1200,9.15
27,0.8,1.670735,34.2940,2.577281,21.4700,9.85
28,0.8,1.588389,39.6720,2.333189,20.5000,9.24
29,0.8,1.448108,45.5740,1.587758,44.4000,9.00
30,0.8,1.316079,51.1180,1.551282,45.2800,8.49
31,0.8,1.228485,55.2760,1.838218,43.3700,9.76
32,0.8,1.131542,59.1480,1.290473,54.9100,9.28
33,0.8,1.052373,62.1860,1.707647,50.3200,10.21
34,0.8,0.973717,65.1220,1.894197,47.0700,9.01
35,0.8,0.900755,67.9680,1.216266,59.9600,9.63
36,0.8,0.854550,70.0360,1.866925,48.5900,8.91
37,0.8,0.824746,70.7520,1.572989,52.1000,8.74
38,0.8,0.782732,72.5640,1.134816,64.1700,8.61
39,0.8,0.748605,73.5640,0.922226,69.6700,9.09
40,0.8,0.715199,74.9620,1.174660,65.5900,8.85
41,0.8,0.691005,76.1280,1.136153,66.2600,8.79
42,0.8,0.654441,77.3360,0.896361,68.7800,9.27
43,0.8,0.642671,77.6400,1.179649,62.8600,8.72
44,0.8,0.615187,78.8300,0.940562,68.6800,8.96
45,0.8,0.595545,79.3420,0.925716,70.9000,9.18
46,0.8,0.581250,79.8360,1.158830,67.3600,9.19
47,0.8,0.570145,80.2300,1.940757,56.5000,8.57
48,0.8,0.559743,80.5560,0.813316,73.6600,7.72
49,0.8,0.541834,81.1660,0.909564,71.8500,7.53
50,0.8,0.544062,81.0980,0.787633,74.1400,7.17
51,0.8,0.540385,81.4040,0.922778,71.5000,8.65
52,0.8,0.505912,82.6220,1.540871,59.6100,9.29
53,0.8,0.511715,82.4600,1.091975,66.8900,9.92
54,0.8,0.490883,82.9360,0.835931,74.0400,9.71
55,0.8,0.480441,83.3000,0.646923,79.1800,9.81
56,0.8,0.475506,83.5800,0.576170,80.5400,9.92
57,0.8,0.465917,83.8860,1.295106,65.5300,9.64
58,0.8,0.456393,84.2860,0.781643,74.2300,10.13
59,0.8,0.464110,84.0160,0.820303,74.2900,9.45
60,0.8,0.444320,84.6320,0.646933,79.1900,9.01
61,0.8,0.433319,84.9480,1.245943,64.0200,9.31
62,0.8,0.433898,84.8920,0.854064,73.5200,9.59
63,0.8,0.420218,85.4860,1.509129,61.6700,9.12
64,0.8,0.409773,85.8820,0.751517,77.4400,8.90
65,0.8,0.411851,85.8600,0.675658,78.1200,9.09
66,0.8,0.398953,86.3060,0.642132,79.2100,9.15
67,0.8,0.395965,86.3200,0.680804,78.9600,9.18
68,0.8,0.391789,86.4800,0.752748,76.5400,9.49
69,0.8,0.393059,86.3420,0.581579,80.8500,9.92
70,0.8,0.380134,86.8280,0.659553,78.4000,9.64
71,0.8,0.379615,86.7640,0.892922,73.6100,9.26
72,0.8,0.378246,87.0340,0.787634,74.7200,8.98
73,0.8,0.364271,87.4320,0.840198,73.4800,9.34
74,0.8,0.384702,86.6840,1.005444,73.1700,8.96
75,0.8,0.368062,87.2360,0.968796,71.0000,9.09
76,0.8,0.367791,87.1660,1.098239,71.5700,8.80
77,0.8,0.356374,87.6460,0.657958,79.6700,9.41
78,0.8,0.347951,87.9320,0.689498,79.5200,9.46
79,0.8,0.354113,87.7360,1.045815,70.3100,9.68
80,0.8,0.350599,87.9060,0.885503,74.8700,9.25
81,0.8,0.349816,87.8040,1.177101,69.3300,8.98
82,0.8,0.348019,87.9380,0.791599,75.8300,9.56
83,0.8,0.343551,88.0380,0.672250,78.9900,8.87
84,0.8,0.330762,88.3680,0.907190,76.4500,9.10
85,0.8,0.331023,88.5360,0.647530,79.9000,10.16
86,0.8,0.331193,88.4820,0.793457,76.5500,8.75
87,0.8,0.322446,88.8860,0.820259,74.5300,9.14
88,0.8,0.323519,88.8420,0.782285,78.1800,9.38
89,0.8,0.329529,88.5660,1.088374,69.1400,9.26
90,0.8,0.325461,88.7200,0.774750,76.8300,9.57
91,0.8,0.318150,88.7640,0.624491,81.3200,9.21
92,0.8,0.316821,89.0320,1.678687,61.4800,9.45
93,0.8,0.310184,89.0920,0.567509,82.5900,9.33
94,0.8,0.313214,89.0920,0.497849,83.5500,9.35
95,0.8,0.312936,89.2160,0.682906,78.6400,9.59
96,0.8,0.312434,89.1800,0.527162,82.6700,9.11
97,0.8,0.298982,89.6400,0.635472,81.0900,8.77
98,0.8,0.297186,89.6820,0.870362,74.2100,9.56
99,0.8,0.300610,89.5500,0.607749,80.4500,9.66
100,0.8,0.296817,89.7600,0.834268,76.6800,9.19
101,0.08000000000000002,0.210905,92.6360,0.323040,89.2200,9.75
102,0.08000000000000002,0.169486,94.1500,0.329708,89.3600,9.34
