epoch,lr,train_loss,train_acc,test_loss,test_acc,epoch_time_sec
1,0.1,1.730650,35.3540,1.472765,47.2400,7.12
2,0.1,1.230723,55.5080,1.227947,57.4600,4.74
3,0.1,0.977230,65.2880,1.049454,63.4900,4.70
4,0.1,0.821843,71.1740,1.000143,67.4300,4.72
5,0.1,0.696199,75.6520,0.882813,71.8400,4.76
6,0.1,0.629645,78.0020,0.708338,76.3500,4.75
7,0.1,0.572938,80.1120,0.722264,76.1500,4.72
8,0.1,0.534847,81.7160,0.704902,77.2400,4.77
9,0.1,0.498439,82.8220,0.655552,78.4900,4.84
10,0.1,0.475532,83.5940,0.606129,80.5800,4.64
11,0.1,0.449559,84.3420,0.556754,81.1300,4.65
12,0.1,0.430046,85.0700,0.566595,81.0200,4.64
13,0.1,0.417097,85.4660,0.557256,81.4400,4.72
14,0.1,0.400617,86.1940,0.558608,81.5800,4.79
15,0.1,0.380802,86.7040,0.494018,83.5100,4.81
16,0.1,0.378376,86.7860,0.596395,80.9600,4.63
17,0.1,0.368549,87.2220,0.558897,82.1100,4.68
18,0.1,0.355423,87.6180,0.492095,83.2700,4.73
19,0.1,0.347255,87.8820,0.426882,85.6300,4.62
20,0.1,0.337720,88.2580,0.510941,83.6000,4.64
21,0.1,0.327200,88.5960,0.461216,84.8800,4.75
22,0.1,0.326840,88.6520,0.527547,83.3600,4.70
23,0.1,0.317167,89.0020,0.512813,83.5300,4.77
24,0.1,0.314760,89.0820,0.515230,83.6300,4.77
25,0.1,0.306912,89.2700,0.431828,85.8400,4.75
26,0.1,0.295814,89.7460,0.490455,84.3700,4.74
27,0.1,0.295408,89.7020,0.519171,83.6300,4.70
28,0.1,0.290046,89.8340,0.474859,84.8500,4.70
29,0.1,0.287972,90.0660,0.596681,81.8300,4.69
30,0.1,0.284721,90.2520,0.526665,82.7900,4.69
31,0.1,0.282506,90.3000,0.557026,84.2500,4.67
32,0.1,0.275064,90.2880,0.442089,85.9200,13.03
33,0.1,0.271591,90.5900,0.466887,85.1500,4.71
34,0.1,0.269213,90.5200,0.501094,84.3100,4.59
35,0.1,0.262210,90.7880,0.435493,86.2100,4.58
36,0.1,0.260089,90.8620,0.423171,86.7900,4.70
37,0.1,0.261152,90.9740,0.513627,84.2200,4.74
38,0.1,0.254417,91.1160,0.499728,84.1700,4.78
39,0.1,0.252524,91.2880,0.388483,87.3500,4.77
40,0.1,0.250784,91.2380,0.483637,85.4800,4.60
41,0.1,0.252184,91.2540,0.499389,84.0400,4.71
42,0.1,0.244697,91.4320,0.532981,83.7300,4.74
43,0.1,0.242277,91.6160,0.433192,86.6800,4.67
44,0.1,0.243804,91.6140,0.503378,85.1900,4.79
45,0.1,0.237904,91.6520,0.464367,86.3100,4.77
46,0.1,0.231208,91.9320,0.414556,86.9500,4.74
47,0.1,0.239466,91.6040,0.503767,85.6600,4.73
48,0.1,0.235646,91.7260,0.444776,86.5500,4.77
49,0.1,0.234007,91.8120,0.545238,83.9800,4.70
50,0.1,0.232250,91.8900,0.500833,84.7600,4.76
51,0.1,0.233967,91.7180,0.542604,83.7300,4.76
52,0.1,0.226672,92.0920,0.472833,85.4400,4.77
53,0.1,0.224779,92.2420,0.442050,86.4600,4.76
54,0.1,0.228686,92.0040,0.483639,85.2800,4.70
55,0.1,0.225681,92.0720,0.650782,80.9700,4.89
56,0.1,0.224480,92.1880,0.408136,87.3400,6.40
57,0.1,0.219779,92.3080,0.425679,86.7700,6.67
58,0.1,0.221737,92.1880,0.437124,86.5700,6.57
59,0.1,0.219864,92.1780,0.449406,86.3800,6.55
60,0.1,0.218139,92.3880,0.395208,87.1900,6.54
61,0.1,0.211528,92.6780,0.507615,85.5500,6.43
62,0.1,0.214786,92.5080,0.452245,86.2000,6.42
63,0.1,0.215405,92.4120,0.402049,87.8700,6.63
64,0.1,0.211623,92.7120,0.424002,86.8300,6.50
65,0.1,0.211057,92.5080,0.591713,84.7500,6.69
66,0.1,0.206764,92.8360,0.423250,87.0100,6.72
