generation,best_channels,best_fitness,best_acc,best_params_ratio,best_flops_ratio
1,8-16-32,24.898616,32.4500,0.251817,0.251608
2,8-16-32,24.898616,32.4500,0.251817,0.251608
3,8-20-32,26.540009,35.2000,0.280222,0.297111
4,8-20-32,26.540009,35.2000,0.280222,0.297111
5,8-20-32,26.540009,35.2000,0.280222,0.297111
1,8-16-32,23.748616,31.3000,0.251817,0.251608
2,8-16-32,23.748616,31.3000,0.251817,0.251608
3,8-16-32,23.748616,31.3000,0.251817,0.251608
4,8-16-32,23.748616,31.3000,0.251817,0.251608
5,8-16-32,23.748616,31.3000,0.251817,0.251608
