iteration,best_channels,best_fitness,best_acc,best_params_ratio,best_flops_ratio
1,8-16-40,24.679356,34.4500,0.355335,0.296042
2,8-16-40,24.679356,34.4500,0.355335,0.296042
3,8-20-32,26.540009,35.2000,0.280222,0.297111
4,8-20-32,26.540009,35.2000,0.280222,0.297111
5,8-20-32,26.540009,35.2000,0.280222,0.297111
1,8-16-40,24.379356,34.1500,0.355335,0.296042
2,8-16-40,24.379356,34.1500,0.355335,0.296042
3,8-20-32,25.990009,34.6500,0.280222,0.297111
4,8-20-32,25.990009,34.6500,0.280222,0.297111
5,8-20-32,25.990009,34.6500,0.280222,0.297111
