epoch,lr,train_loss,train_acc,test_loss,test_acc,epoch_time_sec
1,0.1,1.762772,32.8460,1.538993,42.9500,16.62
2,0.1,1.331421,51.3640,1.356715,53.6600,9.84
3,0.1,1.044604,62.7040,1.367494,60.6400,9.83
4,0.1,0.882839,68.8200,1.028270,64.5500,9.74
5,0.1,0.780761,72.8180,0.900393,69.2200,10.16
6,0.1,0.714661,75.1060,0.803882,73.4600,9.79
7,0.1,0.664756,76.7020,0.722992,75.6300,9.80
8,0.1,0.632256,78.0860,0.731347,75.6600,9.92
9,0.1,0.604660,78.9720,0.740692,74.5100,27.84
10,0.1,0.583197,79.7300,0.679171,77.3900,8.17
11,0.1,0.563525,80.3280,0.632777,79.1000,8.39
12,0.1,0.541714,81.0820,0.674940,77.9400,8.36
13,0.1,0.534084,81.5100,0.599996,79.9600,8.47
14,0.1,0.519162,81.9820,0.608479,80.1000,8.36
15,0.1,0.507710,82.3220,0.569969,80.4800,8.37
16,0.1,0.496914,82.8520,0.761781,76.3000,8.42
17,0.1,0.485387,83.1940,0.625816,79.8100,8.40
18,0.1,0.483117,83.4060,0.711760,76.8700,8.39
19,0.1,0.470552,83.7040,0.626523,79.6000,8.40
20,0.1,0.461580,84.0600,0.613720,79.6000,8.55
21,0.1,0.455144,84.3660,0.533387,82.7300,8.52
22,0.1,0.450900,84.4020,0.802035,76.3200,8.54
23,0.1,0.441929,84.7160,0.583242,80.3000,8.47
24,0.1,0.435177,84.8800,0.580683,81.1000,8.44
25,0.1,0.440000,84.7540,0.642644,79.1400,8.39
26,0.1,0.425858,85.2480,0.599429,80.8100,51.84
27,0.1,0.424671,85.2060,0.545822,82.4500,40.19
28,0.1,0.418583,85.3800,0.655125,78.2300,8.38
29,0.1,0.419362,85.4200,0.514002,83.0700,8.26
30,0.1,0.413333,85.7220,0.649898,78.6500,8.31
31,0.1,0.407954,85.8940,0.498637,83.3300,8.54
32,0.1,0.406875,85.6260,0.594217,81.0300,8.22
33,0.1,0.406854,85.9700,0.567314,81.6800,8.60
34,0.1,0.396501,86.3720,0.546834,81.5800,8.76
35,0.1,0.397808,86.1440,0.571242,81.9800,9.04
36,0.1,0.392960,86.5800,0.550471,81.7300,9.47
37,0.1,0.388535,86.4580,0.669207,80.1700,9.24
38,0.1,0.386670,86.6220,0.547255,82.3100,9.50
39,0.1,0.386000,86.6740,0.505780,83.1600,8.97
40,0.1,0.389114,86.5600,0.552138,81.9200,8.69
41,0.010000000000000002,0.287510,90.1220,0.373738,87.5100,9.70
42,0.010000000000000002,0.261236,90.9780,0.372255,87.5400,9.74
43,0.010000000000000002,0.251526,91.3820,0.369020,87.8500,9.62
44,0.010000000000000002,0.245437,91.4600,0.373197,87.8400,9.52
45,0.010000000000000002,0.240128,91.7400,0.372543,87.9400,9.40
46,0.010000000000000002,0.234720,91.8720,0.366594,88.0800,9.36
47,0.010000000000000002,0.230718,91.9620,0.369756,88.1700,9.67
48,0.010000000000000002,0.222357,92.1840,0.369033,88.1600,9.75
49,0.010000000000000002,0.222449,92.2700,0.377709,88.2000,9.67
50,0.010000000000000002,0.221272,92.2900,0.367240,88.1800,9.89
51,0.010000000000000002,0.216686,92.3620,0.378346,87.8300,9.50
52,0.010000000000000002,0.215929,92.3740,0.371635,88.3300,8.24
53,0.010000000000000002,0.211416,92.5500,0.376688,88.0900,8.31
54,0.010000000000000002,0.211413,92.5320,0.369269,88.2500,8.38
55,0.010000000000000002,0.207244,92.8500,0.381288,88.1700,8.08
56,0.010000000000000002,0.206695,92.8260,0.374588,88.3500,8.35
57,0.010000000000000002,0.205177,92.8620,0.370523,88.4400,8.42
58,0.010000000000000002,0.202947,92.9440,0.377316,88.2600,8.62
59,0.010000000000000002,0.204618,92.7740,0.392310,88.2800,9.07
60,0.010000000000000002,0.197179,93.1320,0.386636,87.9700,9.13
61,0.0010000000000000002,0.187335,93.5420,0.378092,88.2800,9.14
62,0.0010000000000000002,0.182070,93.6240,0.373271,88.3000,8.97
63,0.0010000000000000002,0.183758,93.5680,0.370405,88.4800,8.89
64,0.0010000000000000002,0.175944,93.8700,0.374690,88.5000,8.93
65,0.0010000000000000002,0.177000,93.8620,0.375252,88.3500,9.22
66,0.0010000000000000002,0.176768,93.8520,0.375251,88.4400,9.24
67,0.0010000000000000002,0.179485,93.7320,0.374223,88.3000,8.50
68,0.0010000000000000002,0.177474,93.7140,0.372986,88.5500,9.31
69,0.0010000000000000002,0.173000,93.9700,0.376565,88.4800,9.02
70,0.0010000000000000002,0.176197,93.8500,0.375366,88.5500,9.06
71,0.0010000000000000002,0.175371,93.8640,0.375086,88.6100,9.34
72,0.0010000000000000002,0.175267,93.9400,0.372152,88.6500,9.49
73,0.0010000000000000002,0.171844,94.0960,0.375287,88.6000,9.46
74,0.0010000000000000002,0.173408,93.9440,0.375577,88.5500,9.61
75,0.0010000000000000002,0.175154,93.8660,0.374074,88.4900,10.18
76,0.0010000000000000002,0.175116,93.8960,0.376790,88.6200,10.60
77,0.0010000000000000002,0.173982,93.8700,0.375349,88.5100,8.70
78,0.0010000000000000002,0.173755,93.9040,0.376197,88.5000,8.92
79,0.0010000000000000002,0.171877,93.9340,0.375858,88.3200,8.59
80,0.0010000000000000002,0.169068,94.1080,0.379079,88.6300,7.79
