epoch,lr,train_loss,train_acc,test_loss,test_acc,epoch_time_sec
1,0.1,0.641315,80.6800,0.423470,85.8900,18.06
2,0.1,0.235975,91.6740,0.367401,88.4800,2.11
3,0.1,0.171104,93.9100,0.331119,89.3300,2.01
4,0.1,0.136706,95.2040,0.350529,89.3600,2.10
5,0.1,0.119803,95.7860,0.357035,88.9900,2.14
6,0.1,0.103230,96.3200,0.348317,89.5700,1.99
7,0.1,0.098838,96.6440,0.327218,90.3400,1.88
8,0.1,0.088890,96.9540,0.382299,89.3900,1.90
9,0.1,0.080745,97.1740,0.356669,90.4000,1.95
10,0.1,0.076343,97.3840,0.375880,89.7300,1.89
11,0.1,0.073272,97.4440,0.356580,90.0200,1.97
12,0.1,0.068680,97.5860,0.346765,90.5200,1.99
13,0.1,0.064167,97.8240,0.403423,89.8100,1.88
14,0.1,0.064919,97.7460,0.371591,90.3500,2.00
15,0.1,0.062247,97.8600,0.361633,90.7500,1.98
16,0.1,0.057736,97.9560,0.343084,90.7300,1.96
17,0.1,0.057710,98.0620,0.362761,90.3300,1.86
18,0.1,0.052966,98.1960,0.451499,89.5500,1.90
19,0.1,0.052927,98.1980,0.388496,89.9600,1.89
20,0.1,0.051875,98.2060,0.378822,89.8500,1.88
21,0.1,0.052363,98.2080,0.415511,90.4100,1.92
22,0.1,0.050638,98.2620,0.414755,90.0400,1.97
23,0.1,0.049237,98.3260,0.397276,90.2600,1.91
24,0.1,0.049148,98.3440,0.450473,89.6900,1.98
25,0.1,0.046549,98.4040,0.392460,90.2600,2.04
26,0.1,0.049414,98.3060,0.452277,89.4500,1.92
27,0.1,0.044973,98.4860,0.453528,89.0400,1.93
28,0.1,0.044736,98.4420,0.421071,90.1400,1.87
29,0.1,0.042913,98.4980,0.430742,89.9600,1.89
30,0.1,0.043378,98.4700,0.407236,90.0900,1.99
31,0.1,0.039801,98.6720,0.439565,89.7300,1.95
32,0.1,0.044266,98.4840,0.406291,90.4500,1.98
33,0.1,0.044306,98.4840,0.442155,89.6700,1.92
34,0.1,0.044095,98.5020,0.439741,89.3200,1.93
35,0.1,0.040308,98.6000,0.427788,90.2600,1.88
36,0.1,0.038991,98.6560,0.456391,89.4500,1.91
37,0.1,0.038755,98.6340,0.437608,89.8100,1.91
38,0.1,0.037546,98.7020,0.399436,90.7800,1.83
39,0.1,0.040009,98.6340,0.410705,90.5500,1.90
40,0.1,0.040383,98.6340,0.462666,89.3700,1.92
41,0.010000000000000002,0.025267,99.2060,0.346202,91.9300,1.87
42,0.010000000000000002,0.019391,99.4280,0.346515,91.9400,1.95
43,0.010000000000000002,0.017975,99.4700,0.342683,92.0800,1.88
44,0.010000000000000002,0.016133,99.5960,0.341933,92.0300,1.82
45,0.010000000000000002,0.015191,99.6440,0.345130,92.0300,1.99
46,0.010000000000000002,0.014060,99.6580,0.344899,91.9400,1.90
47,0.010000000000000002,0.013074,99.6800,0.343531,92.0700,1.90
48,0.010000000000000002,0.012449,99.7140,0.343277,91.9600,1.82
49,0.010000000000000002,0.012900,99.6740,0.345625,91.8400,2.02
50,0.010000000000000002,0.012977,99.6880,0.346453,91.9800,1.96
51,0.010000000000000002,0.011766,99.7420,0.343260,91.9000,1.85
52,0.010000000000000002,0.011061,99.7660,0.346848,91.9600,1.91
53,0.010000000000000002,0.010922,99.7740,0.349488,92.0100,1.85
54,0.010000000000000002,0.011374,99.7440,0.347760,91.9100,1.93
55,0.010000000000000002,0.011062,99.7620,0.349628,92.0400,1.85
56,0.010000000000000002,0.010569,99.7800,0.349388,92.0000,2.10
57,0.010000000000000002,0.010193,99.7700,0.346161,91.9600,1.99
58,0.010000000000000002,0.009369,99.8360,0.347529,92.1400,1.89
59,0.010000000000000002,0.009910,99.8060,0.346804,92.1800,1.96
60,0.010000000000000002,0.009855,99.8040,0.351544,92.0000,1.89
61,0.0010000000000000002,0.009887,99.7860,0.349869,92.0200,1.88
62,0.0010000000000000002,0.009310,99.8220,0.349676,92.0600,2.00
63,0.0010000000000000002,0.009053,99.8340,0.350898,92.0100,1.96
64,0.0010000000000000002,0.009158,99.8240,0.349437,92.0400,1.98
65,0.0010000000000000002,0.008432,99.8540,0.349503,92.0400,1.84
66,0.0010000000000000002,0.009417,99.8100,0.349165,92.0800,1.96
67,0.0010000000000000002,0.009144,99.8040,0.348735,92.1200,1.99
68,0.0010000000000000002,0.008484,99.8400,0.348156,92.1200,1.97
69,0.0010000000000000002,0.009281,99.8120,0.348608,92.0800,1.99
70,0.0010000000000000002,0.009263,99.7900,0.349553,92.0500,1.89
71,0.0010000000000000002,0.009506,99.7940,0.348437,92.1000,1.84
72,0.0010000000000000002,0.009098,99.8200,0.348152,92.0900,2.02
73,0.0010000000000000002,0.009108,99.8000,0.348510,92.1000,1.90
74,0.0010000000000000002,0.008501,99.8480,0.348204,92.1300,1.85
75,0.0010000000000000002,0.008250,99.8680,0.349339,92.0900,1.86
76,0.0010000000000000002,0.008575,99.8600,0.348719,92.0500,1.98
77,0.0010000000000000002,0.008584,99.8340,0.348114,92.0400,1.93
78,0.0010000000000000002,0.008720,99.8700,0.348510,92.0500,2.03
79,0.0010000000000000002,0.009065,99.8240,0.348859,92.0500,1.98
80,0.0010000000000000002,0.009107,99.8260,0.347922,92.0800,1.88
