epoch,lr,train_loss,train_acc,test_loss,test_acc,epoch_time_sec
1,0.1,1.719435,35.8300,1.557563,43.8600,7.00
2,0.1,1.205478,56.0080,1.055232,61.8500,4.78
3,0.1,0.971190,65.3620,1.092702,64.0800,4.75
4,0.1,0.805020,71.6300,0.908110,69.6600,4.75
5,0.1,0.691493,75.8580,0.839073,73.4500,4.79
6,0.1,0.621276,78.3240,0.675066,77.5400,4.98
7,0.1,0.563043,80.6180,0.707440,77.5900,4.75
8,0.1,0.526887,81.8300,0.710358,77.3000,4.85
9,0.1,0.494264,83.0800,0.692164,77.6100,5.04
10,0.1,0.467939,83.8740,0.661445,79.0300,4.73
11,0.1,0.442586,84.6540,0.582505,81.4200,4.73
12,0.1,0.424790,85.5340,0.544430,82.4700,4.93
13,0.1,0.409448,85.8240,0.509774,83.2200,4.89
14,0.1,0.393867,86.4180,0.585683,81.7800,4.82
15,0.1,0.377804,86.7500,0.506898,83.8200,4.78
16,0.1,0.370144,87.2300,0.510261,83.1200,4.87
17,0.1,0.355733,87.6780,0.536943,82.1300,4.85
18,0.1,0.350674,87.8320,0.487926,83.6000,4.82
19,0.1,0.338620,88.1940,0.588914,81.1500,4.80
20,0.1,0.329909,88.5480,0.483729,83.7700,4.77
21,0.1,0.321486,88.8080,0.568804,82.1400,4.75
22,0.1,0.318023,88.9480,0.471855,85.0100,4.79
23,0.1,0.306056,89.3740,0.426865,85.5300,4.83
24,0.1,0.309497,89.2540,0.458083,85.2200,4.89
25,0.1,0.295942,89.6820,0.578295,82.3400,4.79
26,0.1,0.290721,90.0340,0.504572,84.0900,4.79
27,0.1,0.284719,90.0500,0.500300,84.1500,4.74
28,0.1,0.279066,90.2980,0.394819,87.2000,4.77
29,0.1,0.277252,90.3540,0.546645,83.2500,4.84
30,0.1,0.272590,90.5040,0.597346,81.6400,4.80
31,0.1,0.263977,90.8400,0.458053,85.9200,4.75
32,0.1,0.267955,90.6960,0.537936,83.3800,4.78
33,0.1,0.262579,90.8580,0.418006,86.2400,4.71
34,0.1,0.257232,91.0360,0.404190,86.8700,4.80
35,0.1,0.256723,90.8680,0.474870,85.3300,4.96
36,0.1,0.253352,91.2220,0.468003,85.0000,4.82
37,0.1,0.250375,91.1400,0.454693,85.7200,4.80
38,0.1,0.243955,91.4980,0.444735,86.2200,4.76
39,0.1,0.241866,91.5400,0.497123,84.6300,4.69
40,0.1,0.241414,91.5300,0.560041,83.4600,4.72
41,0.1,0.242251,91.4300,0.465562,85.4400,4.73
42,0.1,0.239082,91.6660,0.452390,85.8200,4.79
43,0.1,0.235573,91.7160,0.386487,87.4900,4.76
44,0.1,0.237355,91.7900,0.608012,83.0200,4.84
45,0.1,0.231533,91.9300,0.432185,86.6300,4.75
46,0.1,0.228755,92.1380,0.417167,86.6500,4.83
47,0.1,0.233652,91.9060,0.532461,84.6600,4.81
48,0.1,0.228382,91.9180,0.402452,87.2900,4.77
49,0.1,0.222287,92.3280,0.449379,85.8100,4.71
50,0.1,0.223913,92.0860,0.422455,86.7300,4.77
51,0.1,0.224234,92.1760,0.443036,86.1600,6.88
52,0.1,0.221025,92.2940,0.399994,88.0900,4.75
53,0.1,0.216145,92.5160,0.444357,86.2000,179.32
54,0.1,0.216582,92.3600,0.441592,86.4700,4.83
55,0.1,0.216639,92.4040,0.504942,84.5500,4.82
56,0.1,0.214815,92.4500,0.506020,84.8000,4.87
57,0.1,0.209825,92.6260,0.473616,86.4500,4.92
58,0.1,0.213167,92.5480,0.474191,85.6300,4.72
59,0.1,0.212893,92.5360,0.428333,85.7700,4.95
60,0.1,0.209769,92.5840,0.434891,86.8900,4.85
61,0.1,0.207276,92.7340,0.508883,85.3600,4.85
62,0.1,0.211084,92.5480,0.442082,86.7600,4.75
63,0.1,0.205151,92.9260,0.445629,86.3200,4.79
64,0.1,0.199745,93.1440,0.417740,87.0300,4.81
65,0.1,0.205885,92.7300,0.445898,86.4700,4.80
66,0.1,0.199967,93.0180,0.426734,87.0900,4.76
67,0.1,0.197807,93.0560,0.510722,85.8500,4.88
