channels,fitness,val_acc,train_acc,val_loss,train_loss,params,flops,params_ratio,flops_ratio,params_compression_rate,flops_reduction_rate,below_baseline_short_by,penalty,eval_time_sec,epochs,inherited
8-8-8-8-8-20-16-28-28-20-64-40-32-64-48,-425.487246647542,11.119999815368653,15.159999520874024,2.529190235900879,3.7311641284942625,262386,30855648,0.5652994480280252,0.4480756112113816,0.43470055197197477,0.5519243887886184,85.85999862213134,429.2999931106567,40.76564264297485,1,True
12-8-12-16-12-28-32-16-24-24-48-56-40-56-48,-426.3250809104122,11.259999769592286,15.12999937286377,3.5881004718780516,3.407666495513916,280486,41066976,0.6042951261865674,0.5963611709533094,0.39570487381343256,0.4036388290466906,85.71999866790772,428.59999333953857,40.62636756896973,1,True
8-8-16-12-16-20-32-28-20-32-40-32-64-56-40,-431.80012315691937,10.339999719238282,13.659999688720703,3.319533979797363,3.8741529949188234,272338,41361808,0.586740607643153,0.6006426246633295,0.41325939235684706,0.3993573753366705,86.63999871826172,433.1999935913086,14.338990926742554,1,True
16-12-12-12-16-32-28-24-32-20-64-64-64-32-32,-421.8823223961915,12.299999697875977,17.509999588012697,2.5939031253814697,3.3722808513641356,327066,49987904,0.7046497498675008,0.7259079646609875,0.29535025013249916,0.2740920353390125,84.67999873962403,423.3999936981201,9.985418319702148,1,True
8-12-8-8-12-20-24-32-24-16-48-32-32-56-56,-432.6145249072056,9.899999887084961,12.829999435424805,2.5590140098571776,3.4374517387390138,229586,31961648,0.4946332467241476,0.46413658085945997,0.5053667532758523,0.53586341914054,87.07999855041504,435.3999927520752,18.30243992805481,1,True
8-16-12-16-16-20-20-28-16-20-64-56-56-32-32,-437.07692312128404,9.419999867248535,12.349999478149414,2.6076891101837156,3.0040028495788573,266162,40145216,0.5734346790073984,0.5829756742238225,0.4265653209926016,0.41702432577617754,87.55999857025147,437.79999285125734,8.846312761306763,1,True
12-8-12-8-8-24-16-28-20-32-32-56-64-40-40,-422.7820166189612,11.639999617004394,16.65999956665039,2.3507912353515623,3.28183129234314,256662,34136464,0.5529673341175558,0.4957185462899799,0.44703266588244417,0.5042814537100201,85.33999882049561,426.69999410247806,8.139865636825562,1,True
16-16-12-16-8-32-24-20-20-24-48-48-32-48-48,-432.1801850576722,10.239999572753906,17.399999227905273,13.394864263916016,3.6606629123687746,240490,42209760,0.5181254497429733,0.6129563057980739,0.48187455025702675,0.3870436942019261,86.7399988647461,433.6999943237305,10.433213472366333,1,True
8-8-8-8-8-20-16-28-20-32-40-40-64-56-48,-437.6053335670933,9.139999835205078,15.999999429321289,2.600092208862305,3.896764018249512,273058,31703520,0.5882918169400673,0.46038813061233597,0.41170818305993273,0.539611869387664,87.83999860229493,439.19999301147465,3.280010223388672,1,True
12-8-12-8-8-24-16-16-20-24-32-56-64-40-40,-431.4182836444135,10.079999594116211,16.39999962463379,11.581146586608886,3.374870658493042,240166,30376336,0.5174274055593617,0.4411151993814,0.48257259444063827,0.5588848006186,86.89999884338378,434.49999421691894,2.7838454246520996,1,True
16-8-12-12-16-32-28-24-32-32-64-56-64-40-40,-437.9482257960588,9.679999671936034,14.72999946899414,9.041189318847657,3.7231801765441896,343770,51130768,0.7406378055559146,0.742504261239542,0.25936219444408537,0.25749573876045795,87.29999876556397,436.4999938278198,0.3418889045715332,1,True
12-12-12-8-8-32-16-28-20-20-32-64-64-40-40,-427.98102477461407,10.839999824523925,15.339999606323243,2.7571734104156493,3.509409077835083,268358,36016528,0.5781658673629873,0.5230202197442698,0.42183413263701275,0.4769797802557302,86.13999861297607,430.69999306488035,2.153505802154541,1,True
