epoch,lr,train_loss,train_ce_loss,train_kd_loss,train_at_loss,train_acc,test_loss,test_acc,epoch_time_sec
1,0.1,13.801044,2.478913,18.653387,0.000000,36.5600,4.484648,32.2100,37.82
2,0.1,9.920332,1.974429,13.325719,0.000000,53.5580,2.967186,48.5400,1.14
3,0.1,7.939869,1.645712,10.637364,0.000000,62.3460,3.449731,47.2100,1.09
4,0.1,6.961086,1.465044,9.316532,0.000000,66.4420,4.059869,50.9900,1.13
5,0.1,6.181277,1.336016,8.257817,0.000000,70.1140,2.352236,61.0600,1.10
6,0.1,5.488577,1.203440,7.325064,0.000000,73.4640,2.854612,57.0800,1.15
7,0.1,5.001964,1.107949,6.670827,0.000000,75.5480,1.300851,73.9700,1.63
8,0.1,4.577005,1.019668,6.101578,0.000000,77.5160,1.311924,73.9000,1.26
9,0.1,4.165225,0.930782,5.551415,0.000000,79.4880,1.248474,75.6900,1.11
10,0.1,4.046536,0.909998,5.390766,0.000000,79.8400,1.430627,72.7600,1.10
11,0.1,3.793235,0.851154,5.054126,0.000000,81.0780,1.220395,77.2700,1.07
12,0.1,3.591421,0.805224,4.785505,0.000000,81.8520,1.051663,78.4200,1.09
13,0.1,3.484302,0.784606,4.641314,0.000000,82.3020,1.165505,77.1900,1.08
14,0.1,3.340195,0.744854,4.452484,0.000000,83.2740,1.192703,77.3800,1.09
15,0.1,3.221296,0.713148,4.296217,0.000000,83.7720,1.046122,79.6500,1.09
16,0.1,3.167112,0.708001,4.221016,0.000000,84.0580,1.035047,79.4800,1.15
17,0.1,3.050856,0.677123,4.068170,0.000000,84.5580,1.218137,75.4900,1.94
18,0.1,2.949975,0.658740,3.931933,0.000000,84.9300,0.986516,80.2700,1.12
19,0.1,2.835406,0.626626,3.782026,0.000000,85.6480,0.889569,81.8400,1.11
20,0.1,2.778003,0.616264,3.704462,0.000000,85.8800,1.314882,76.4200,1.10
21,0.1,2.714218,0.594739,3.622566,0.000000,86.1280,1.131663,79.1900,1.17
22,0.1,2.654834,0.585867,3.541534,0.000000,86.4780,0.955205,81.3700,1.17
23,0.1,2.602450,0.572429,3.472459,0.000000,86.6040,1.059051,80.7100,1.15
24,0.1,2.578464,0.563189,3.442154,0.000000,86.8400,1.023757,80.5400,1.10
25,0.1,2.511007,0.552602,3.350323,0.000000,87.1420,1.181210,78.5700,1.08
26,0.1,2.427008,0.528727,3.240557,0.000000,87.6460,1.363366,78.7400,1.09
27,0.1,2.397034,0.519352,3.201754,0.000000,87.7900,1.755559,74.7300,1.20
28,0.1,2.341650,0.510159,3.126575,0.000000,88.0660,0.959431,82.2600,1.10
29,0.1,2.316613,0.499978,3.095171,0.000000,88.1120,0.897161,82.9000,1.08
30,0.1,2.273733,0.488802,3.038703,0.000000,88.4920,0.820261,84.7500,2.19
31,0.1,2.266497,0.483999,3.030424,0.000000,88.4520,1.295578,77.9800,2.26
32,0.1,2.198028,0.465715,2.940447,0.000000,88.7900,0.829103,83.6600,2.25
33,0.1,2.191239,0.467561,2.929958,0.000000,88.7660,0.834726,83.5000,2.15
34,0.1,2.181076,0.466829,2.915753,0.000000,88.7940,0.944026,81.7400,2.14
35,0.1,2.151807,0.458902,2.877337,0.000000,89.0320,1.132196,79.5500,2.10
36,0.1,2.063484,0.436068,2.760948,0.000000,89.5080,0.907789,82.2600,2.70
37,0.1,2.042468,0.434058,2.731787,0.000000,89.5640,0.900314,82.3100,2.92
38,0.1,2.034248,0.425316,2.723790,0.000000,89.6060,0.930202,82.6500,2.92
39,0.1,2.001048,0.417796,2.679585,0.000000,89.8560,0.985620,81.7600,2.89
40,0.1,1.975797,0.409207,2.647192,0.000000,89.9900,0.718430,86.1500,2.88
41,0.010000000000000002,1.741197,0.349217,2.337761,0.000000,91.1860,0.546982,89.0400,2.94
42,0.010000000000000002,1.629525,0.328197,2.187238,0.000000,91.7560,0.534809,89.0700,2.92
43,0.010000000000000002,1.588308,0.310016,2.136147,0.000000,91.9840,0.553862,89.0000,2.85
