epoch,lr,train_loss,train_ce_loss,train_kd_loss,train_at_loss,train_acc,test_loss,test_acc,epoch_time_sec
1,0.1,14.109332,2.455079,19.104012,0.000000,34.8360,2.520348,44.0900,55.98
2,0.1,10.452899,2.090303,14.036869,0.000000,51.6480,2.755385,50.0500,10.14
3,0.1,8.381020,1.753739,11.221283,0.000000,61.0880,1.885211,61.1000,14.03
4,0.1,7.291802,1.559731,9.748404,0.000000,65.6860,1.933554,65.8500,11.87
5,0.1,6.468327,1.390750,8.644432,0.000000,69.4160,1.808661,66.6500,11.71
6,0.1,5.920619,1.282898,7.908214,0.000000,71.9020,1.284279,72.6300,11.67
7,0.1,5.437750,1.181143,7.262010,0.000000,74.2940,1.837342,67.1400,14.27
8,0.1,5.107617,1.115580,6.818491,0.000000,75.5740,1.308060,73.6700,15.34
9,0.1,4.804580,1.050514,6.413465,0.000000,76.9400,1.094769,77.4200,15.36
10,0.1,4.594969,1.004186,6.133875,0.000000,77.8680,1.906849,68.1900,15.51
11,0.1,4.371090,0.954023,5.835547,0.000000,78.8320,1.377578,74.8800,15.31
12,0.1,4.143559,0.902181,5.532721,0.000000,79.7520,1.524948,71.6800,15.49
13,0.1,3.960657,0.862708,5.288350,0.000000,80.7580,1.812313,70.0300,15.29
14,0.1,3.817399,0.817711,5.102980,0.000000,81.4360,0.910235,81.5100,15.42
15,0.1,3.674796,0.797915,4.907745,0.000000,81.9440,1.156372,78.6100,15.29
16,0.1,3.550529,0.763005,4.745183,0.000000,82.5320,1.188826,77.8300,15.46
17,0.1,3.456339,0.751038,4.615754,0.000000,82.7760,1.189507,78.5400,15.50
18,0.1,3.376341,0.722478,4.513710,0.000000,83.4180,0.907339,80.4900,15.33
19,0.1,3.263005,0.700808,4.361090,0.000000,83.8900,1.260986,77.1800,15.46
20,0.1,3.205318,0.679131,4.287970,0.000000,84.1540,0.874810,81.7800,15.22
21,0.1,3.112999,0.662046,4.163407,0.000000,84.4520,0.824552,82.0700,15.46
22,0.1,3.008191,0.640901,4.022744,0.000000,85.0320,1.147244,79.8800,15.37
23,0.1,2.995845,0.633346,4.008344,0.000000,85.0440,0.956195,81.3100,15.56
24,0.1,2.895497,0.614576,3.873034,0.000000,85.4220,0.786549,83.6000,15.48
25,0.1,2.878641,0.613123,3.849578,0.000000,85.5120,0.861221,83.3000,15.59
26,0.1,2.795722,0.585648,3.742896,0.000000,86.0160,0.872096,83.1700,15.43
27,0.1,2.769600,0.584905,3.705898,0.000000,86.1660,0.928929,81.6400,15.45
28,0.1,2.757076,0.572817,3.693187,0.000000,86.3920,1.387325,75.6700,16.09
29,0.1,2.676159,0.555962,3.584815,0.000000,86.6360,0.799351,83.2900,16.37
