epoch,lr,train_loss,train_ce_loss,train_kd_loss,train_at_loss,train_acc,test_loss,test_acc,epoch_time_sec
1,0.1,2.058007,2.058007,0.000000,0.000000,24.1760,1.713627,35.8700,93.72
2,0.1,1.568811,1.568811,0.000000,0.000000,41.8080,1.849171,39.3500,11.98
3,0.1,1.296746,1.296746,0.000000,0.000000,53.1400,1.461743,49.4900,12.12
4,0.1,1.128268,1.128268,0.000000,0.000000,59.6160,1.458770,53.0300,13.86
5,0.1,1.016627,1.016627,0.000000,0.000000,63.8080,1.279659,57.2100,15.50
6,0.1,0.918198,0.918198,0.000000,0.000000,67.5380,0.964100,66.2800,15.19
7,0.1,0.846437,0.846437,0.000000,0.000000,70.0160,1.131046,60.0000,16.54
8,0.1,0.792654,0.792654,0.000000,0.000000,72.1620,1.172846,64.1600,16.52
9,0.1,0.740700,0.740700,0.000000,0.000000,74.3160,0.876481,70.0500,16.70
10,0.1,0.705357,0.705357,0.000000,0.000000,75.1920,0.689754,76.5900,16.49
11,0.1,0.666880,0.666880,0.000000,0.000000,76.7380,0.729785,74.9300,19.47
12,0.1,0.642964,0.642964,0.000000,0.000000,77.5120,0.688224,76.7200,20.25
13,0.1,0.620432,0.620432,0.000000,0.000000,78.3840,0.764312,74.5200,22.79
14,0.1,0.600088,0.600088,0.000000,0.000000,79.2980,0.701358,76.1700,28.58
15,0.1,0.585156,0.585156,0.000000,0.000000,79.6200,0.764602,74.9800,30.66
16,0.1,0.566562,0.566562,0.000000,0.000000,80.4000,1.013110,69.3100,33.28
17,0.1,0.552614,0.552614,0.000000,0.000000,80.8460,0.582900,79.9400,33.24
18,0.1,0.539202,0.539202,0.000000,0.000000,81.2020,0.656087,78.8300,32.94
19,0.1,0.524141,0.524141,0.000000,0.000000,81.8680,0.679269,77.0100,33.28
20,0.1,0.511916,0.511916,0.000000,0.000000,82.2060,0.888706,72.0000,33.07
21,0.1,0.497589,0.497589,0.000000,0.000000,82.6240,0.628824,78.5500,33.09
22,0.1,0.488422,0.488422,0.000000,0.000000,82.9740,0.726966,76.1800,33.23
23,0.1,0.481883,0.481883,0.000000,0.000000,83.1940,0.574212,80.4100,33.12
24,0.1,0.473165,0.473165,0.000000,0.000000,83.5020,0.659701,78.0400,33.06
25,0.1,0.459878,0.459878,0.000000,0.000000,83.9060,0.628974,80.0000,33.34
26,0.1,0.453062,0.453062,0.000000,0.000000,84.3200,0.600645,80.6000,33.06
27,0.1,0.441358,0.441358,0.000000,0.000000,84.5760,0.557937,81.3300,32.70
28,0.1,0.440562,0.440562,0.000000,0.000000,84.7680,0.601994,79.4900,31.79
29,0.1,0.429286,0.429286,0.000000,0.000000,85.0880,0.600862,79.5300,31.50
30,0.1,0.428579,0.428579,0.000000,0.000000,85.0160,0.694493,78.0300,31.76
31,0.1,0.418438,0.418438,0.000000,0.000000,85.5680,0.559241,81.2600,31.60
32,0.1,0.413032,0.413032,0.000000,0.000000,85.6920,0.697138,77.3300,29.21
33,0.1,0.409487,0.409487,0.000000,0.000000,85.8180,0.495914,83.4800,33.46
34,0.1,0.400809,0.400809,0.000000,0.000000,86.1520,0.555435,81.0800,29.96
35,0.1,0.401263,0.401263,0.000000,0.000000,86.0300,0.495912,83.1400,29.71
36,0.1,0.389302,0.389302,0.000000,0.000000,86.4540,0.549265,81.4600,29.94
37,0.1,0.388391,0.388391,0.000000,0.000000,86.3940,0.510287,82.8500,29.61
38,0.1,0.385042,0.385042,0.000000,0.000000,86.5760,0.498273,82.9500,28.16
39,0.1,0.379585,0.379585,0.000000,0.000000,86.8060,0.505765,83.1800,27.13
40,0.1,0.376079,0.376079,0.000000,0.000000,86.7820,0.640784,79.4900,27.08
41,0.010000000000000002,0.303249,0.303249,0.000000,0.000000,89.4740,0.353274,88.2900,27.03
42,0.010000000000000002,0.273478,0.273478,0.000000,0.000000,90.6540,0.358099,88.0000,28.05
43,0.010000000000000002,0.264696,0.264696,0.000000,0.000000,90.7640,0.351666,88.3400,27.68
44,0.010000000000000002,0.258261,0.258261,0.000000,0.000000,90.9560,0.351107,88.1900,27.83
45,0.010000000000000002,0.253214,0.253214,0.000000,0.000000,91.1540,0.349336,88.4900,26.59
46,0.010000000000000002,0.253603,0.253603,0.000000,0.000000,91.1500,0.349803,88.3700,27.11
47,0.010000000000000002,0.246899,0.246899,0.000000,0.000000,91.5020,0.353567,88.3100,27.03
48,0.010000000000000002,0.244334,0.244334,0.000000,0.000000,91.4620,0.353823,88.2300,26.83
