epoch,lr,train_loss,train_acc,test_loss,test_acc,epoch_time_sec
1,0.1,1.911466,27.3200,1.545730,43.0100,33.18
2,0.1,1.438055,46.7400,1.695686,41.6000,5.76
3,0.1,1.211534,55.6960,1.255475,54.5600,5.70
4,0.1,1.036861,62.2200,1.070025,62.1000,5.63
5,0.1,0.947186,66.0840,1.149739,61.1600,5.79
6,0.1,0.866248,69.1240,1.225053,61.9000,5.74
7,0.1,0.808299,71.3500,0.937462,68.1900,5.96
8,0.1,0.729029,74.1820,0.849345,71.1000,5.82
9,0.1,0.680886,76.0320,0.719869,75.2100,5.82
10,0.1,0.649675,77.3560,0.809408,73.0400,5.82
11,0.1,0.601265,78.7280,1.115987,66.9700,5.74
12,0.1,0.565907,80.1780,0.845106,73.3000,5.80
13,0.1,0.546695,80.8080,0.609137,79.3600,5.75
14,0.1,0.517891,81.9080,0.894486,71.3100,5.92
15,0.1,0.496407,82.6760,0.635918,78.1400,5.71
16,0.1,0.478058,83.2220,0.670581,77.4000,5.71
17,0.1,0.464244,83.7340,0.712869,77.2200,5.84
18,0.1,0.442114,84.5580,0.629509,79.7100,5.78
19,0.1,0.429722,85.0220,0.687585,78.0500,5.92
20,0.1,0.412398,85.7500,0.522478,82.8400,5.59
21,0.1,0.402308,86.0400,0.633272,80.0500,5.83
22,0.1,0.385975,86.4060,0.530966,82.2500,5.64
23,0.1,0.383388,86.5720,0.811577,75.8200,5.87
24,0.1,0.367833,86.9500,0.621759,79.1300,5.68
25,0.1,0.353293,87.7300,0.613088,81.1500,5.79
26,0.1,0.338907,88.1800,0.758397,76.8700,5.75
27,0.1,0.329154,88.5820,0.650915,79.3700,5.84
28,0.1,0.327757,88.6760,0.666916,79.9300,5.88
29,0.1,0.313190,88.9800,0.549771,82.6200,5.79
30,0.1,0.312090,88.9800,0.568959,81.8800,5.98
31,0.1,0.304295,89.3880,0.620621,80.3000,5.68
32,0.1,0.299366,89.5160,0.470947,84.7000,5.82
33,0.1,0.285940,89.9380,0.486381,84.3600,5.75
34,0.1,0.286919,89.7220,0.587105,82.4900,5.89
35,0.1,0.283453,89.9740,0.464533,85.2100,5.69
36,0.1,0.269737,90.5000,0.574726,82.1800,5.87
37,0.1,0.266930,90.5420,0.639238,80.3400,5.68
38,0.1,0.262618,90.9180,0.471935,84.3600,6.01
39,0.1,0.250905,91.2100,0.467057,84.9300,5.75
40,0.1,0.243420,91.3960,0.700538,79.2900,5.80
41,0.1,0.241032,91.4980,0.448537,85.5500,5.73
42,0.1,0.234442,91.9080,0.528002,84.6000,5.82
43,0.1,0.237449,91.6500,0.641423,81.7400,5.85
44,0.1,0.227062,92.0740,0.554198,83.5900,5.71
45,0.1,0.224911,91.9820,0.437405,86.1200,5.78
46,0.1,0.211235,92.6140,0.474783,85.1600,5.75
47,0.1,0.218753,92.2540,0.598426,82.4900,5.83
48,0.1,0.219925,92.2140,0.504866,84.6500,5.70
49,0.1,0.209425,92.4880,0.440345,86.1100,5.86
50,0.1,0.203743,92.7380,0.488158,84.8400,5.74
51,0.1,0.196324,93.0400,0.622638,82.6800,5.91
52,0.1,0.197891,93.0120,0.501201,84.6700,5.79
53,0.1,0.196299,93.0060,0.566862,83.2700,5.73
54,0.1,0.185304,93.3840,0.470502,86.1500,5.80
55,0.1,0.187837,93.4040,0.493272,85.0400,5.82
56,0.1,0.185050,93.4460,0.687825,82.1200,5.99
57,0.1,0.178602,93.7420,0.557741,84.6200,5.75
58,0.1,0.181923,93.6500,0.441141,87.0300,5.88
59,0.1,0.176915,93.7320,0.473774,85.4100,5.72
60,0.1,0.170667,93.9360,0.454499,86.4300,5.88
61,0.1,0.172236,93.8620,0.498991,85.9700,5.72
62,0.1,0.172753,93.8380,0.434984,86.9800,5.88
63,0.1,0.165593,94.1840,0.563864,84.7800,5.74
64,0.1,0.162661,94.2700,0.450750,87.3500,5.75
65,0.1,0.157783,94.5020,0.429414,87.8600,5.81
66,0.1,0.157833,94.4440,0.436966,87.0600,5.75
67,0.1,0.155816,94.4540,0.488998,86.0600,6.00
68,0.1,0.152870,94.6420,0.434833,87.4100,5.76
69,0.1,0.149628,94.7660,0.453598,86.9400,5.72
70,0.1,0.144718,94.8640,0.610329,84.0200,5.82
71,0.1,0.145312,94.8420,0.537497,84.9900,5.80
72,0.1,0.141826,94.9900,0.547902,85.0000,5.76
73,0.1,0.133809,95.2820,0.592138,84.2900,5.84
74,0.1,0.145949,94.7640,0.514610,85.6800,5.67
75,0.1,0.134189,95.2820,0.537354,85.2700,5.89
76,0.1,0.133535,95.2580,0.566097,85.2300,5.75
77,0.1,0.139730,94.9660,0.559958,85.1400,5.78
78,0.1,0.146908,94.8280,0.519868,85.9900,5.73
79,0.1,0.137489,95.1960,0.421050,87.7900,5.80
80,0.1,0.132908,95.3960,0.604544,83.7700,5.85
81,0.1,0.132947,95.2020,0.543611,86.2400,5.73
82,0.1,0.134065,95.2080,0.617826,83.9900,5.79
83,0.1,0.122985,95.5760,0.480874,86.5500,5.75
84,0.1,0.127452,95.5180,0.523612,85.8100,5.83
85,0.1,0.121132,95.7860,0.563366,85.5000,5.84
86,0.1,0.127534,95.5260,0.550030,85.5700,6.00
87,0.1,0.120556,95.6800,0.611191,84.8400,5.87
88,0.1,0.117512,95.8680,0.543262,85.4300,5.81
89,0.1,0.122288,95.6760,0.507790,86.1900,5.82
90,0.1,0.118342,95.7820,0.531773,86.2400,5.77
91,0.1,0.116675,95.7760,0.541148,86.5700,5.86
92,0.1,0.114196,95.8720,0.498145,86.9900,5.67
93,0.1,0.121430,95.7100,0.695107,83.7000,6.00
94,0.1,0.117806,95.8360,0.479539,86.9700,5.67
95,0.1,0.111533,96.0480,0.444839,87.7900,5.80
96,0.1,0.111957,96.0320,0.596355,84.9800,5.78
97,0.1,0.109690,96.0460,0.656919,83.4500,5.78
98,0.1,0.108907,96.1720,0.457254,87.1100,5.91
99,0.1,0.102457,96.4020,0.579367,85.8200,5.83
100,0.1,0.103385,96.4640,0.462083,87.8100,5.75
101,0.010000000000000002,0.068891,97.6580,0.345692,90.4300,5.69
102,0.010000000000000002,0.053324,98.3180,0.346069,90.7300,5.77
103,0.010000000000000002,0.045243,98.6720,0.348784,90.7200,5.95
104,0.010000000000000002,0.043092,98.7080,0.350453,90.9000,5.74
105,0.010000000000000002,0.040747,98.7900,0.347154,90.7400,5.73
106,0.010000000000000002,0.038777,98.8180,0.348095,90.7500,5.79
107,0.010000000000000002,0.037558,98.9280,0.352642,90.6700,5.80
108,0.010000000000000002,0.036845,98.8620,0.355163,90.7300,5.80
