epoch,lr,train_loss,train_acc,test_loss,test_acc,epoch_time_sec
1,0.1,1.976604,26.9620,1.597014,38.9500,22.42
2,0.1,1.445789,46.4940,1.374326,52.1200,3.84
3,0.1,1.160174,58.2820,1.122195,60.2900,4.18
4,0.1,0.949382,66.4320,1.000354,66.0300,6.35
5,0.1,0.807354,71.4900,0.980938,66.9900,6.06
6,0.1,0.711659,75.1280,0.696073,76.2500,6.71
7,0.1,0.644896,77.5280,0.760642,74.0900,7.74
8,0.1,0.594532,79.3760,0.720393,75.9800,9.56
9,0.1,0.553245,80.7520,0.778673,73.6800,12.00
10,0.1,0.518732,82.1760,0.848002,73.5200,12.35
11,0.1,0.491367,82.9000,0.676196,77.7000,12.23
12,0.1,0.466323,83.7840,0.562187,80.9600,12.42
13,0.1,0.445964,84.6220,0.557820,82.1100,12.51
14,0.1,0.427899,85.1900,0.463946,83.8300,12.47
15,0.1,0.410380,85.8240,0.491530,83.5800,12.55
16,0.1,0.395560,86.3620,0.724877,77.1300,12.38
17,0.1,0.382032,86.6700,0.623583,79.6200,12.30
18,0.1,0.364652,87.4220,0.645061,79.2100,12.49
19,0.1,0.355030,87.7920,0.518385,82.7900,12.35
20,0.1,0.343147,88.0580,0.514738,83.4900,12.35
21,0.1,0.336861,88.2320,0.585987,81.6500,12.55
22,0.1,0.321094,88.8840,0.449144,84.5100,12.40
23,0.1,0.315614,89.0900,0.487823,83.5200,12.44
24,0.1,0.304857,89.3480,0.462888,84.2900,12.45
25,0.1,0.299368,89.6320,0.696386,80.0200,12.37
26,0.1,0.292889,89.5880,0.469904,84.7700,12.32
27,0.1,0.286659,90.0180,0.493618,84.2300,12.55
28,0.1,0.279142,90.1360,0.407284,87.2100,12.53
29,0.1,0.275144,90.3140,0.548756,83.1900,12.42
30,0.1,0.271282,90.5760,0.440657,85.5300,12.35
31,0.1,0.263282,90.7700,0.441393,85.5900,12.52
32,0.1,0.266021,90.8600,0.445903,85.3700,12.47
33,0.1,0.252225,91.2560,0.391596,86.6400,12.18
34,0.1,0.246548,91.2840,0.517065,84.3900,12.50
35,0.1,0.241258,91.6280,0.532051,83.9700,12.43
36,0.1,0.239650,91.7040,0.458276,85.6000,12.33
37,0.1,0.237866,91.5920,0.474732,84.9100,12.51
38,0.1,0.232755,91.9380,0.409809,86.9600,12.53
39,0.1,0.231413,91.8300,0.400840,87.3300,12.49
40,0.1,0.227594,91.9440,0.406960,87.1200,12.41
41,0.1,0.222079,92.3740,0.402582,86.5600,12.47
42,0.1,0.220442,92.2700,0.478013,85.5700,12.26
43,0.1,0.215282,92.4240,0.468789,85.7700,12.46
44,0.1,0.212221,92.6040,0.473776,85.5100,12.52
45,0.1,0.210758,92.6280,0.430824,86.6500,12.44
46,0.1,0.218569,92.4480,0.646221,81.8900,12.50
47,0.1,0.207856,92.6400,0.450096,86.4700,12.44
48,0.1,0.200294,93.0160,0.495544,85.3100,12.27
49,0.1,0.201081,92.8880,0.373156,88.4000,12.54
50,0.1,0.202447,92.7920,0.423627,86.7200,12.51
