epoch,lr,train_loss,train_acc,test_loss,test_acc,epoch_time_sec
1,0.1,1.922637,27.1320,1.851951,36.5100,18.07
2,0.1,1.427541,47.4040,1.486918,48.0300,0.95
3,0.1,1.198381,56.0720,1.189821,56.9300,0.96
4,0.1,1.024913,62.8000,1.032453,62.9400,0.95
5,0.1,0.932444,66.6680,0.982175,64.6700,0.99
6,0.1,0.845567,69.7500,0.956571,67.2100,0.95
7,0.1,0.783724,72.0800,0.874865,69.4400,0.95
8,0.1,0.718721,74.4480,0.833996,71.3900,0.96
9,0.1,0.673652,76.1960,0.778730,72.9400,1.04
10,0.1,0.630625,77.9300,0.853782,71.8400,1.09
11,0.1,0.594145,79.1800,1.057781,67.3400,1.02
12,0.1,0.561348,80.2220,0.935858,69.9400,1.19
13,0.1,0.535627,81.1980,0.740649,75.8400,1.01
14,0.1,0.509215,81.9920,0.702715,75.8200,0.96
15,0.1,0.483545,83.1360,0.637982,79.3300,1.27
16,0.1,0.466155,83.6140,0.654563,78.9100,1.32
17,0.1,0.459390,83.8540,0.624365,79.0000,1.05
18,0.1,0.436382,84.7980,0.855524,74.5000,0.98
19,0.1,0.417724,85.5120,0.680761,78.2100,1.19
20,0.1,0.402928,85.8920,0.651336,79.7000,0.97
21,0.1,0.387757,86.4100,1.058321,70.6200,1.24
22,0.1,0.382462,86.5840,0.591165,80.6400,1.30
23,0.1,0.367550,87.0520,0.516070,82.2000,1.13
24,0.1,0.354193,87.6140,0.670268,79.3800,1.11
25,0.1,0.344067,87.9640,0.477428,84.4300,1.31
26,0.1,0.336974,88.1600,0.675667,78.8000,1.07
27,0.1,0.322252,88.6560,0.528740,83.1000,1.29
28,0.1,0.309910,89.1620,0.563852,82.0400,1.28
29,0.1,0.302329,89.1660,0.558618,82.3600,1.26
30,0.1,0.306722,89.2920,0.635096,81.0600,1.26
31,0.1,0.290739,89.8860,0.594574,81.2300,1.31
32,0.1,0.287430,89.8100,0.520544,83.0300,1.27
33,0.1,0.286712,90.1000,0.630414,80.6800,1.23
34,0.1,0.282017,90.0800,0.617542,80.6900,1.26
35,0.1,0.267256,90.7480,0.468293,84.7700,1.27
36,0.1,0.259676,90.7660,0.521820,83.1600,1.27
37,0.1,0.258908,90.9020,0.460253,84.6500,1.29
38,0.1,0.253200,91.1160,0.459620,85.1800,1.30
39,0.1,0.241062,91.5020,0.496245,84.9000,1.16
40,0.1,0.234319,91.6420,0.695243,79.4200,1.08
41,0.1,0.227231,92.0620,0.660857,81.6500,1.36
42,0.1,0.229750,91.8420,0.452982,85.7000,1.05
43,0.1,0.227762,92.0340,0.537138,83.6300,1.35
44,0.1,0.213571,92.4920,0.628481,82.5100,1.27
45,0.1,0.215001,92.4180,0.681184,80.3200,1.29
46,0.1,0.216359,92.4920,0.493989,84.8300,1.33
47,0.1,0.204523,92.8760,0.418478,87.2100,1.28
48,0.1,0.203492,92.9060,0.508390,84.7100,1.29
49,0.1,0.201876,92.8600,0.564961,83.2500,1.21
50,0.1,0.196420,93.1660,0.446261,86.1800,1.24
51,0.1,0.195862,93.1320,0.470797,85.7100,1.26
52,0.1,0.186288,93.4760,0.545271,84.2100,1.10
53,0.1,0.192457,93.2160,0.563150,83.6400,1.23
54,0.1,0.174177,93.8600,0.522469,84.9300,1.26
55,0.1,0.179450,93.5920,0.522789,84.5800,1.02
56,0.1,0.178854,93.7620,0.492795,85.1800,1.44
57,0.1,0.179089,93.6280,0.608575,83.5400,1.29
58,0.1,0.171248,93.9800,0.473008,85.2800,1.00
59,0.1,0.165721,94.2000,0.500963,84.9600,1.33
60,0.1,0.159717,94.4080,0.644249,83.4600,1.30
61,0.1,0.165179,94.1180,0.497295,86.5000,1.18
62,0.1,0.160031,94.3340,0.471830,85.7600,1.37
63,0.1,0.160855,94.3680,0.443109,86.8500,1.24
64,0.1,0.153734,94.5980,0.456364,86.7300,1.26
65,0.1,0.150684,94.7380,0.447631,87.1500,1.06
66,0.1,0.157088,94.3060,0.528608,85.0100,1.26
