epoch,lr,train_loss,train_acc,test_loss,test_acc,epoch_time_sec
1,0.1,1.933079,26.7960,1.850153,35.3600,18.07
2,0.1,1.440113,46.6420,1.401014,49.7900,0.96
3,0.1,1.221426,55.4100,1.222367,54.8500,0.97
4,0.1,1.038822,62.5680,1.004159,64.5400,0.91
5,0.1,0.935002,66.4460,0.926548,67.0200,0.94
6,0.1,0.845313,69.6400,1.360528,56.7600,0.93
7,0.1,0.785176,72.0700,0.890434,71.2000,0.95
8,0.1,0.713602,74.9400,0.909344,69.4900,0.95
9,0.1,0.663602,76.6940,0.842328,71.0400,0.94
10,0.1,0.622161,78.2240,0.857294,70.7500,0.95
11,0.1,0.585120,79.6480,0.918031,70.8500,0.92
12,0.1,0.549018,80.7760,0.632566,78.3700,0.91
13,0.1,0.530986,81.5380,0.695177,76.5800,0.92
14,0.1,0.507094,82.1480,0.685018,76.8100,0.94
15,0.1,0.479410,83.2340,0.644013,79.0500,0.94
16,0.1,0.458574,84.0660,0.860847,73.5900,0.91
17,0.1,0.455401,84.2420,0.562276,80.9800,0.94
18,0.1,0.434868,84.8380,0.665840,78.2500,0.93
19,0.1,0.414873,85.5280,0.648950,78.9900,0.93
20,0.1,0.402964,86.0340,0.552161,81.6500,0.90
21,0.1,0.387839,86.4740,0.540163,81.2200,0.91
22,0.1,0.377551,86.7940,0.630593,79.6300,0.95
23,0.1,0.365161,87.3760,0.583846,80.2100,0.95
24,0.1,0.360839,87.3100,0.548406,81.6800,0.93
25,0.1,0.340178,88.1640,0.566704,81.1700,0.94
26,0.1,0.340754,88.1480,0.543682,82.2200,0.93
27,0.1,0.325136,88.6260,0.571116,80.7500,0.94
28,0.1,0.314026,89.0180,0.566129,81.5700,0.94
29,0.1,0.308686,89.1500,0.558927,82.1900,0.92
30,0.1,0.306632,89.2840,0.517860,83.8100,1.02
31,0.1,0.295272,89.7300,0.463966,85.1800,0.92
32,0.1,0.289204,89.8960,0.582245,82.0400,0.92
33,0.1,0.282266,90.1360,0.706484,78.9700,0.92
34,0.1,0.273642,90.4680,0.492671,84.2900,0.95
35,0.1,0.267963,90.6960,0.519883,83.2900,0.93
36,0.1,0.263496,90.7060,0.525527,84.1100,0.92
37,0.1,0.256586,91.0580,0.594047,81.3400,0.92
38,0.1,0.253570,91.1300,0.573267,83.0700,0.94
39,0.1,0.249221,91.2120,0.489338,85.2100,0.95
40,0.1,0.242443,91.4460,0.519328,83.7300,0.94
41,0.1,0.229465,91.9080,0.511458,84.2000,0.95
42,0.1,0.233295,91.8120,0.563241,83.6800,0.95
43,0.1,0.228684,91.9380,0.548196,83.8900,0.94
44,0.1,0.220302,92.2220,0.556876,83.0400,0.94
45,0.1,0.220843,92.2120,0.531522,84.4700,0.94
