epoch,lr,train_loss,train_acc,test_loss,test_acc,epoch_time_sec
1,0.1,1.736478,34.9200,1.494433,43.9500,54.38
2,0.1,1.244506,54.9280,1.518012,51.4400,12.41
3,0.1,0.955118,66.2840,0.997491,65.2400,23.29
4,0.1,0.780803,72.6600,0.844005,71.3000,21.93
5,0.1,0.673073,76.6140,0.778527,74.9800,21.96
6,0.1,0.605913,79.0500,0.768314,75.2000,22.64
7,0.1,0.554622,80.8600,0.643595,77.9100,22.04
8,0.1,0.519502,82.0640,1.030593,70.0500,23.24
9,0.1,0.487058,83.2040,0.616024,79.3700,23.60
10,0.1,0.466823,83.7560,0.590367,80.0700,23.81
11,0.1,0.444846,84.5180,0.557095,81.1400,24.00
12,0.1,0.425764,85.2240,0.508045,82.9400,23.87
13,0.1,0.408177,85.8940,0.493594,83.3600,23.55
14,0.1,0.391580,86.4900,0.545612,82.5400,22.61
15,0.1,0.378927,86.9440,0.558505,81.8100,23.48
16,0.1,0.379667,86.9100,0.444446,84.8600,22.61
17,0.1,0.365761,87.2600,0.535302,82.4800,22.88
18,0.1,0.355236,87.6080,0.499171,83.7900,22.13
19,0.1,0.345183,87.9820,0.471363,84.4100,22.12
20,0.1,0.340100,88.1460,0.427642,85.9900,23.89
21,0.1,0.327966,88.5000,0.478337,84.6300,22.52
22,0.1,0.324894,88.7140,0.511654,83.3500,22.86
