epoch,lr,train_loss,train_acc,test_loss,test_acc,epoch_time_sec
1,0.1,1.950578,27.1560,1.614453,36.6500,89.81
2,0.1,1.462878,45.1100,1.549004,44.6600,18.54
3,0.1,1.211780,55.6640,1.308500,53.3800,19.83
4,0.1,1.024660,62.8880,1.107579,61.4900,19.33
5,0.1,0.908059,67.7000,1.319836,59.1400,19.28
6,0.1,0.809858,71.1800,1.026332,65.3400,18.15
7,0.1,0.727177,74.3600,0.790677,72.3500,16.79
8,0.1,0.667611,76.6920,1.481965,57.7900,15.11
9,0.1,0.614403,78.3600,0.748865,74.5700,11.79
10,0.1,0.578931,79.8240,0.761628,74.9400,14.04
11,0.1,0.542874,80.9900,0.623705,79.1900,13.10
12,0.1,0.508929,82.2840,0.867351,71.9600,11.45
13,0.1,0.487633,82.9960,0.696426,77.4600,27.35
14,0.1,0.461005,83.9440,0.782267,74.1900,13.68
15,0.1,0.446060,84.5740,0.629538,78.9300,12.94
16,0.1,0.419530,85.4560,0.635028,78.8800,12.71
17,0.1,0.405739,85.9980,0.541889,81.7400,12.46
18,0.1,0.396565,86.0860,0.593311,79.9300,12.72
19,0.1,0.376311,86.9700,0.505362,82.8900,12.46
20,0.1,0.361972,87.3120,0.511234,83.2400,11.23
21,0.1,0.353659,87.7020,0.600084,80.3200,10.67
22,0.1,0.341970,88.0760,0.632563,80.7400,10.15
23,0.1,0.327719,88.5920,0.639749,79.9400,9.75
24,0.1,0.320139,88.8380,0.500160,83.6400,9.65
25,0.1,0.311720,89.0920,0.491600,83.8600,9.65
26,0.1,0.305433,89.4200,0.495455,83.3800,9.68
27,0.1,0.291537,89.8060,0.446897,85.1400,9.76
28,0.1,0.285537,90.0720,0.511451,83.8300,9.13
29,0.1,0.277333,90.2420,0.582061,82.3600,9.33
30,0.1,0.275572,90.4220,0.474513,84.6900,9.78
31,0.1,0.263361,90.7180,0.427008,85.7100,9.23
32,0.1,0.264218,90.8160,0.482979,84.5000,7.87
33,0.1,0.254851,91.1440,0.571643,81.6500,7.07
34,0.1,0.254035,91.0300,0.450536,85.1200,25.30
35,0.1,0.246598,91.5100,0.464276,85.5400,9.79
36,0.1,0.239842,91.5320,0.542054,83.0300,9.02
37,0.1,0.232194,91.8540,0.589465,82.7200,7.65
38,0.1,0.221184,92.3960,0.445876,86.0300,32.18
39,0.1,0.227739,92.0920,0.413909,86.6800,8.88
40,0.1,0.217228,92.4840,0.433096,86.3100,8.59
41,0.1,0.210229,92.6400,0.533679,82.7800,6.48
42,0.1,0.206786,92.7700,0.413852,86.8700,34.67
43,0.1,0.204384,92.7720,0.484395,85.2400,8.10
44,0.1,0.202621,92.8480,0.471773,86.1300,7.80
45,0.1,0.198766,92.9760,0.663395,81.9000,6.57
46,0.1,0.194417,93.2540,0.753168,79.6100,24.03
47,0.1,0.193598,93.1920,0.599916,83.1100,8.09
48,0.1,0.185660,93.4120,0.434267,86.3000,8.14
49,0.1,0.188441,93.3480,0.452185,86.2700,8.23
50,0.1,0.187860,93.3880,0.516788,85.4900,8.14
51,0.1,0.177364,93.6780,0.462760,86.3500,8.18
52,0.1,0.181662,93.6040,0.440727,87.0600,8.01
53,0.1,0.177462,93.6980,0.420183,87.4600,7.38
54,0.1,0.171385,93.9220,0.429418,87.3000,7.28
55,0.1,0.176771,93.6640,0.418961,87.1000,7.41
56,0.1,0.171306,93.9020,0.427512,86.7200,7.27
57,0.1,0.170088,94.0140,0.431693,86.6900,7.40
