epoch,lr,train_loss,train_acc,test_loss,test_acc,epoch_time_sec
1,0.1,1.966125,27.6000,1.614551,37.5700,93.30
2,0.1,1.486423,44.6780,1.448101,46.8200,21.90
3,0.1,1.230352,55.3240,1.304821,54.0400,23.09
4,0.1,1.019934,63.4080,0.934418,67.0800,22.66
5,0.1,0.876122,68.7560,1.239556,62.9000,22.05
6,0.1,0.763850,73.0020,1.020650,64.3100,20.27
7,0.1,0.677276,76.2260,0.703516,76.5000,18.37
8,0.1,0.618358,78.5720,1.082224,65.6700,14.33
9,0.1,0.576708,79.8700,0.712808,75.6500,16.19
10,0.1,0.531319,81.5180,0.697985,76.4600,14.99
11,0.1,0.508726,82.2400,0.716975,75.8500,10.42
12,0.1,0.475637,83.4180,0.604943,79.7100,17.35
13,0.1,0.456458,84.1640,0.685105,78.0900,15.95
14,0.1,0.433546,85.1920,0.646003,78.9800,15.30
15,0.1,0.419694,85.3460,0.626642,80.0500,15.01
16,0.1,0.392789,86.2580,0.667714,78.4000,14.66
17,0.1,0.383331,86.6020,0.521453,82.4800,14.64
18,0.1,0.369696,87.1160,0.576652,80.6200,14.26
19,0.1,0.360553,87.3840,0.540178,82.6900,12.33
20,0.1,0.344127,87.9300,0.519960,82.9400,12.01
21,0.1,0.334203,88.4080,0.560048,82.0700,11.39
22,0.1,0.325960,88.5680,0.516552,82.7500,11.36
23,0.1,0.310005,89.2560,0.722550,79.5800,11.50
24,0.1,0.308288,89.4060,0.488181,83.6000,11.27
25,0.1,0.289246,89.8980,0.494447,83.6000,11.17
26,0.1,0.289102,89.7020,0.473043,84.3100,10.66
27,0.1,0.277118,90.2780,0.456876,84.9200,11.44
28,0.1,0.271706,90.5060,0.644796,80.7600,10.08
29,0.1,0.265210,90.7500,0.436208,85.6800,9.16
30,0.1,0.262765,90.8740,0.512605,83.5700,5.98
31,0.1,0.252556,91.0840,0.419341,86.2100,24.82
32,0.1,0.246622,91.3240,0.436734,85.6400,11.35
33,0.1,0.241958,91.4960,0.540618,83.5100,9.83
34,0.1,0.238481,91.5680,0.406491,87.1100,6.61
35,0.1,0.226317,92.0460,0.541489,83.1100,33.79
36,0.1,0.228578,91.9500,0.408714,87.1400,10.26
37,0.1,0.224673,92.1000,0.605208,80.8100,7.84
38,0.1,0.215072,92.4080,0.428285,86.4900,5.72
39,0.1,0.216155,92.4820,0.462956,85.6700,32.87
40,0.1,0.208060,92.6940,0.449144,86.1400,9.65
41,0.1,0.206245,92.8200,0.445509,85.6900,7.95
42,0.1,0.202516,92.7720,0.496823,85.6300,6.51
43,0.1,0.197054,93.0020,0.505817,85.1400,21.89
44,0.1,0.197410,92.9980,0.532524,84.4200,9.72
45,0.1,0.193842,93.0900,0.391417,87.6500,9.36
46,0.1,0.186703,93.4520,0.446714,87.0500,9.61
47,0.1,0.178660,93.7000,0.421894,87.4200,9.42
48,0.1,0.181661,93.5820,0.440871,86.3100,9.25
49,0.1,0.178363,93.7040,0.439081,86.4900,8.67
50,0.1,0.174413,93.8500,0.437810,86.4000,8.56
51,0.1,0.172463,93.8900,0.415410,87.1100,8.61
52,0.1,0.167348,94.2100,0.395300,87.6100,8.71
53,0.1,0.166717,94.0680,0.456587,86.7000,8.51
54,0.1,0.163808,94.1660,0.395680,87.6100,8.67
55,0.1,0.166465,94.1160,0.697624,81.7200,8.47
56,0.1,0.161272,94.2440,0.419227,87.7600,8.61
57,0.1,0.165141,94.1160,0.504461,85.3000,8.66
58,0.1,0.154909,94.5280,0.418663,87.4700,8.86
59,0.1,0.153361,94.5280,0.422284,87.2300,8.54
60,0.1,0.143638,94.8560,0.478027,86.4400,7.72
61,0.1,0.155394,94.5240,0.543133,85.0200,7.59
62,0.1,0.152295,94.5220,0.486188,86.1200,7.55
63,0.1,0.145135,94.8960,0.404106,87.8800,7.64
64,0.1,0.147564,94.8020,0.410149,87.7400,7.60
65,0.1,0.144908,94.8480,0.400900,88.5800,7.78
66,0.1,0.144097,94.8640,0.476082,86.6500,7.68
67,0.1,0.146851,94.7900,0.574076,84.2600,7.56
68,0.1,0.143097,94.9200,0.459063,86.7000,7.69
69,0.1,0.139392,94.9420,0.450239,86.9900,7.78
70,0.1,0.138926,95.0240,0.405804,87.9500,7.54
71,0.1,0.131452,95.3740,0.415813,88.0000,7.72
72,0.1,0.130645,95.4000,0.499389,86.4400,7.68
73,0.1,0.135632,95.2200,0.478466,86.6100,7.64
74,0.1,0.128353,95.4320,0.397971,88.4100,7.64
75,0.1,0.131701,95.3060,0.598825,84.5800,7.63
76,0.1,0.131511,95.3300,0.473459,87.1000,7.35
77,0.1,0.129144,95.3360,0.480328,86.7600,7.63
78,0.1,0.130141,95.3880,0.455090,87.4700,7.55
79,0.1,0.125377,95.4460,0.443178,87.2100,7.61
80,0.1,0.123887,95.5720,0.487526,86.9700,7.56
81,0.1,0.124699,95.5700,0.382630,88.9900,7.73
82,0.1,0.123380,95.6520,0.494769,86.8400,7.58
83,0.1,0.121850,95.5960,0.383160,88.6900,7.73
84,0.1,0.122638,95.6840,0.484064,86.5300,7.62
85,0.1,0.121102,95.7040,0.414040,88.1200,7.61
86,0.1,0.121170,95.6920,0.515864,85.1800,7.91
87,0.1,0.122541,95.6600,0.435307,88.3100,7.67
88,0.1,0.117188,95.7940,0.417358,87.9400,7.49
89,0.1,0.116767,95.8440,0.420849,88.1700,7.84
90,0.1,0.110695,95.9940,0.500089,86.6700,7.77
91,0.1,0.116478,95.9180,0.420817,88.1200,7.51
92,0.1,0.117667,95.7960,0.462380,87.2700,7.75
93,0.1,0.108298,96.0800,0.436036,88.4000,7.63
94,0.1,0.111468,96.1340,0.452647,87.8200,7.59
95,0.1,0.110396,95.9840,0.501518,86.0700,7.60
96,0.1,0.102275,96.3940,0.438390,88.1300,7.62
97,0.1,0.106545,96.2200,0.587220,84.8400,7.74
98,0.1,0.113175,95.9520,0.589787,85.7300,7.53
99,0.1,0.104104,96.2620,0.448742,87.8500,7.35
100,0.1,0.106337,96.1640,0.463363,87.7600,6.28
101,0.010000000000000002,0.064776,97.7960,0.303824,91.3500,7.49
102,0.010000000000000002,0.045762,98.5040,0.305515,91.4800,7.57
103,0.010000000000000002,0.039548,98.7920,0.301815,91.6400,7.74
104,0.010000000000000002,0.036253,98.8940,0.305573,91.6300,7.65
105,0.010000000000000002,0.033388,99.0100,0.307535,91.6900,7.59
106,0.010000000000000002,0.031256,99.0520,0.308871,91.6800,7.62
107,0.010000000000000002,0.029870,99.1220,0.314973,91.6700,7.54
108,0.010000000000000002,0.029143,99.1560,0.314524,91.7700,7.62
109,0.010000000000000002,0.027050,99.2200,0.318091,91.5600,7.63
110,0.010000000000000002,0.026277,99.2260,0.321105,91.7400,7.63
111,0.010000000000000002,0.026193,99.2760,0.318223,91.6500,7.59
112,0.010000000000000002,0.023842,99.3400,0.320356,91.6200,7.65
113,0.010000000000000002,0.024108,99.2860,0.318046,91.8600,7.53
114,0.010000000000000002,0.023335,99.3280,0.323879,91.6600,7.74
115,0.010000000000000002,0.022144,99.4220,0.323295,91.8000,7.66
116,0.010000000000000002,0.021620,99.3960,0.330034,91.7500,7.57
117,0.010000000000000002,0.019177,99.5060,0.328309,91.8300,7.46
118,0.010000000000000002,0.020596,99.4460,0.325147,91.7500,7.85
119,0.010000000000000002,0.019147,99.4900,0.331068,91.9100,7.56
120,0.010000000000000002,0.019760,99.4560,0.331333,91.7700,8.00
121,0.010000000000000002,0.018886,99.4840,0.330431,91.8200,8.80
122,0.010000000000000002,0.019027,99.4860,0.333337,91.7100,8.40
123,0.010000000000000002,0.017726,99.5140,0.336406,91.5900,7.53
124,0.010000000000000002,0.018616,99.4900,0.333371,91.8100,7.66
125,0.010000000000000002,0.016806,99.5600,0.336309,91.8200,7.74
126,0.010000000000000002,0.016789,99.5300,0.336934,91.6300,7.64
127,0.010000000000000002,0.017535,99.4980,0.338228,91.6900,7.65
128,0.010000000000000002,0.015815,99.5900,0.342812,91.6400,7.77
129,0.010000000000000002,0.016340,99.5460,0.344487,91.7900,8.81
130,0.010000000000000002,0.016177,99.5680,0.343297,91.7100,8.69
131,0.010000000000000002,0.015505,99.5940,0.341761,91.8900,8.72
132,0.010000000000000002,0.014566,99.6460,0.340879,91.7800,8.72
133,0.010000000000000002,0.014254,99.6340,0.343130,91.7100,7.75
134,0.010000000000000002,0.014645,99.6180,0.348394,91.8700,7.67
135,0.010000000000000002,0.014396,99.6280,0.346321,91.8200,7.57
136,0.010000000000000002,0.013924,99.6280,0.353463,91.6900,7.81
137,0.010000000000000002,0.014210,99.6180,0.350846,91.9700,7.71
138,0.010000000000000002,0.014745,99.6100,0.347722,91.7900,6.80
139,0.010000000000000002,0.012662,99.7040,0.348385,91.8900,5.21
140,0.010000000000000002,0.013647,99.6620,0.352304,91.6100,4.02
141,0.010000000000000002,0.012715,99.6720,0.349594,91.8100,2.51
142,0.010000000000000002,0.013236,99.6740,0.355002,91.7000,27.10
143,0.010000000000000002,0.011936,99.6960,0.353979,91.7000,6.65
144,0.010000000000000002,0.012643,99.6880,0.353047,91.8500,6.14
145,0.010000000000000002,0.012416,99.6940,0.359933,91.7900,4.05
146,0.010000000000000002,0.012014,99.6920,0.362362,91.8200,2.78
147,0.010000000000000002,0.012688,99.6760,0.356845,91.9000,36.86
148,0.010000000000000002,0.012477,99.6920,0.359799,91.7900,6.53
149,0.010000000000000002,0.011621,99.7040,0.359685,91.6600,6.60
150,0.010000000000000002,0.011311,99.7300,0.367458,91.5900,6.64
151,0.0010000000000000002,0.010490,99.7660,0.360708,91.7000,6.64
152,0.0010000000000000002,0.011026,99.7140,0.359431,91.7300,6.59
153,0.0010000000000000002,0.010327,99.7660,0.362698,91.7900,6.50
154,0.0010000000000000002,0.010421,99.7760,0.359459,91.7400,6.66
155,0.0010000000000000002,0.009989,99.7720,0.358012,91.8000,6.47
