generation,best_channels,best_fitness,best_acc,params_compression_rate,flops_reduction_rate
1,16-12-8-8-8-28-20-24-24-24-64-32-48-64-56,9.004332,24.7000,0.323427,0.405125
2,16-12-8-16-8-28-16-16-20-20-48-48-32-32-56,12.974238,25.1500,0.540079,0.494941
3,16-12-8-16-8-28-16-16-20-20-48-48-32-32-56,12.974238,25.1500,0.540079,0.494941
4,16-12-8-16-8-28-16-16-20-20-48-48-32-32-56,12.974238,25.1500,0.540079,0.494941
5,16-12-8-16-8-28-16-16-20-20-48-48-32-32-56,12.974238,25.1500,0.540079,0.494941
1,16-8-16-12-8-24-16-16-20-20-48-56-32-40-64,12.218764,25.6500,0.456469,0.467102
2,16-8-16-12-8-24-16-16-20-20-48-56-32-40-64,12.218764,25.6500,0.456469,0.467102
3,16-16-12-12-8-16-20-20-20-20-40-40-32-32-32,15.371175,25.9500,0.653094,0.526112
4,16-16-12-12-8-16-20-20-20-20-40-40-32-32-32,15.371175,25.9500,0.653094,0.526112
5,16-16-12-12-8-16-20-20-20-20-40-40-32-32-32,15.371175,25.9500,0.653094,0.526112
1,8-16-16-8-12-20-16-24-16-16-56-56-48-56-64,9.293333,24.9000,0.314827,0.416663
2,12-16-12-8-8-20-32-24-20-16-48-32-32-56-64,9.384601,23.2500,0.451402,0.441407
3,16-12-12-12-8-16-20-20-16-20-40-40-56-32-64,9.454354,22.1000,0.495956,0.493036
4,12-16-12-8-8-20-28-24-20-24-56-40-32-56-64,10.256010,25.2000,0.387199,0.412321
5,12-16-12-8-8-20-28-24-20-16-56-32-32-56-64,10.935140,24.9000,0.435390,0.445451
1,16-8-16-12-8-24-16-16-20-20-48-56-32-40-64,11.769880,25.2000,0.456469,0.467102
2,16-16-12-12-8-20-20-20-20-16-40-40-32-32-32,12.254173,22.8000,0.655851,0.526409
3,16-16-12-12-8-20-20-20-20-16-40-40-32-32-32,12.254173,22.8000,0.655851,0.526409
4,16-16-12-12-8-20-20-20-20-16-40-40-32-32-32,12.254173,22.8000,0.655851,0.526409
5,16-16-12-12-12-24-20-20-20-16-40-32-32-32-32,12.548789,23.3000,0.667089,0.505234
1,16-8-16-12-8-24-16-16-20-20-48-56-32-40-64,8.767051,22.2000,0.456469,0.467102
1,16-12-12-12-8-20-20-20-16-16-40-40-56-32-64,9.623785,22.2000,0.499938,0.495177
2,16-16-12-12-8-20-20-20-20-16-40-40-32-32-32,12.103182,22.6500,0.655851,0.526409
2,16-16-12-12-8-20-20-20-20-16-40-40-32-32-32,10.653403,21.2000,0.655851,0.526409
3,16-16-12-8-8-20-20-20-20-16-40-40-32-56-40,12.912268,24.7500,0.558849,0.504995
3,16-16-12-12-8-16-20-20-20-20-40-40-32-32-32,13.621032,24.2000,0.653094,0.526112
4,16-16-12-8-8-20-20-20-20-16-40-40-32-56-40,12.912268,24.7500,0.558849,0.504995
4,16-16-12-12-8-16-20-20-20-20-40-40-32-32-32,13.621032,24.2000,0.653094,0.526112
5,8-8-12-12-8-20-20-20-20-16-40-40-32-56-32,13.710259,23.8000,0.592355,0.599154
5,16-16-12-12-8-16-20-20-20-20-40-40-32-32-32,13.621032,24.2000,0.653094,0.526112
