epoch,lr,loss,ce_loss,kd_loss,train_acc,test_loss,test_acc,epoch_time_sec
1,0.05,10.938767,2.246278,19.631257,31.7460,2.366805,39.8900,19.34
2,0.05,8.220570,1.983500,14.457640,50.0120,2.226501,56.7600,7.84
3,0.05,6.026978,1.582063,10.471893,62.8220,1.996336,62.2900,8.15
4,0.05,4.761569,1.309168,8.213969,70.5160,1.497658,71.0800,7.90
5,0.05,4.092117,1.155315,7.028920,74.1720,1.872052,67.7300,7.96
6,0.05,3.624471,1.038995,6.209946,77.0280,1.391893,74.4700,8.04
7,0.05,3.272188,0.936402,5.607973,78.9920,2.018876,69.4800,8.15
8,0.05,3.040458,0.883059,5.197857,80.3400,1.210875,77.6800,8.34
9,0.05,2.833352,0.824111,4.842593,81.5260,0.963268,80.9600,8.02
10,0.05,2.662192,0.773254,4.551130,82.6320,1.233919,77.3600,7.81
11,0.05,2.508510,0.727394,4.289626,83.3180,0.994808,81.0200,7.74
12,0.05,2.425043,0.700946,4.149139,84.0980,0.881666,83.1200,8.18
13,0.05,2.323440,0.669999,3.976880,84.4500,1.031235,81.2100,7.95
14,0.05,2.233270,0.641251,3.825290,85.2100,1.073035,80.3700,7.81
15,0.05,2.130070,0.614159,3.645981,85.8760,1.354506,77.2800,7.93
16,0.05,2.084096,0.603036,3.565156,86.0620,0.939696,81.7900,7.98
17,0.05,2.026240,0.585107,3.467373,86.3060,0.895965,83.5100,8.08
18,0.05,1.976489,0.569889,3.383089,86.5900,0.855548,83.5400,7.93
19,0.05,1.943968,0.557602,3.330333,86.7860,0.933592,82.5000,7.97
20,0.05,1.846483,0.523480,3.169486,87.4420,0.955756,82.7500,8.19
21,0.05,1.822680,0.516316,3.129043,87.7600,0.884886,82.7500,7.97
22,0.05,1.761939,0.497827,3.026050,88.1620,0.867780,83.5300,8.05
23,0.05,1.754022,0.495792,3.012252,88.0760,0.764955,84.9500,8.34
24,0.05,1.714949,0.482634,2.947264,88.4000,0.813216,85.1500,8.64
25,0.05,1.688455,0.476013,2.900898,88.5720,1.004668,82.8900,9.78
26,0.05,1.635136,0.458439,2.811833,88.9680,0.891605,83.9600,9.60
27,0.05,1.610266,0.452794,2.767737,89.0340,0.778478,85.8200,10.05
28,0.05,1.568581,0.438654,2.698508,89.4480,0.789893,85.6700,10.50
29,0.05,1.548162,0.428300,2.668025,89.5260,0.780312,85.6800,10.19
30,0.05,1.532962,0.426776,2.639148,89.7180,0.927821,83.7000,10.47
31,0.05,1.526833,0.426374,2.627293,89.8120,0.715201,86.3100,9.89
32,0.05,1.506862,0.413201,2.600524,89.7760,0.757120,85.7900,10.19
33,0.05,1.474699,0.405649,2.543749,90.0440,0.731781,86.2600,10.15
34,0.05,1.451818,0.390661,2.512975,90.2420,0.738699,85.8200,10.24
35,0.05,1.455730,0.393971,2.517490,90.1240,0.748652,85.3400,10.42
36,0.05,1.413999,0.381128,2.446870,90.5820,0.706840,86.2400,10.24
37,0.05,1.403121,0.382555,2.423687,90.5360,0.764978,85.4900,10.17
38,0.05,1.373916,0.366566,2.381266,90.6540,0.690122,87.0000,8.62
39,0.05,1.387854,0.373340,2.402368,90.7020,0.776894,85.8200,7.94
40,0.05,1.371619,0.368581,2.374657,90.7800,0.691650,86.8400,8.08
41,0.005000000000000001,1.051843,0.262287,1.841399,93.0100,0.509775,90.0500,8.55
42,0.005000000000000001,0.959475,0.229355,1.689596,93.7060,0.501174,90.2700,8.62
43,0.005000000000000001,0.935250,0.228430,1.642069,93.7120,0.495362,90.1100,8.16
44,0.005000000000000001,0.911056,0.215481,1.606632,93.9780,0.492770,90.2400,8.31
45,0.005000000000000001,0.894569,0.208811,1.580326,94.2620,0.491094,90.5200,8.51
46,0.005000000000000001,0.879225,0.204581,1.553869,94.2900,0.491436,90.3200,8.61
47,0.005000000000000001,0.864360,0.198069,1.530651,94.4920,0.490004,90.3000,8.46
48,0.005000000000000001,0.868376,0.199804,1.536948,94.3440,0.482992,90.2800,8.54
49,0.005000000000000001,0.846566,0.191262,1.501870,94.6000,0.480735,90.3600,8.33
50,0.005000000000000001,0.847199,0.189460,1.504939,94.6180,0.488368,90.2400,8.53
51,0.005000000000000001,0.847476,0.190841,1.504112,94.6940,0.476593,90.5200,8.79
52,0.005000000000000001,0.830928,0.185574,1.476283,94.7020,0.485438,90.3100,8.56
53,0.005000000000000001,0.825182,0.182584,1.467780,94.7920,0.484358,90.3500,9.32
54,0.005000000000000001,0.824735,0.181872,1.467598,94.8460,0.487793,90.3400,9.53
55,0.005000000000000001,0.822548,0.181566,1.463529,94.7880,0.480930,90.3700,9.42
56,0.005000000000000001,0.809946,0.178876,1.441016,94.9260,0.471840,90.5000,9.67
57,0.005000000000000001,0.803941,0.173172,1.434711,94.9880,0.482296,90.3800,9.30
58,0.005000000000000001,0.800962,0.173070,1.428854,95.0200,0.488661,90.2300,9.83
59,0.005000000000000001,0.808716,0.175947,1.441485,94.9260,0.478174,90.2900,9.86
60,0.005000000000000001,0.793927,0.167938,1.419915,95.0580,0.496216,90.1700,9.71
61,0.0005000000000000001,0.767296,0.160886,1.373706,95.3920,0.476541,90.4800,9.57
62,0.0005000000000000001,0.764695,0.160501,1.368890,95.2940,0.474804,90.5300,9.57
63,0.0005000000000000001,0.759153,0.157293,1.361012,95.4220,0.471039,90.5500,9.40
64,0.0005000000000000001,0.754443,0.150652,1.358233,95.4620,0.477818,90.4600,9.47
65,0.0005000000000000001,0.760807,0.158787,1.362826,95.3200,0.476655,90.5200,8.15
66,0.0005000000000000001,0.751288,0.151739,1.350838,95.4680,0.477508,90.5100,7.95
67,0.0005000000000000001,0.760484,0.155677,1.365290,95.4720,0.476620,90.5600,8.13
68,0.0005000000000000001,0.763651,0.160018,1.367283,95.4180,0.473148,90.5000,7.86
69,0.0005000000000000001,0.759810,0.155282,1.364337,95.4600,0.475257,90.5000,7.94
70,0.0005000000000000001,0.749869,0.155170,1.344568,95.4020,0.474999,90.5000,7.88
71,0.0005000000000000001,0.759367,0.156972,1.361763,95.4340,0.475572,90.4500,7.96
72,0.0005000000000000001,0.751799,0.154903,1.348695,95.4900,0.474823,90.5300,8.03
73,0.0005000000000000001,0.754713,0.156617,1.352808,95.4860,0.475028,90.5500,8.02
74,0.0005000000000000001,0.754903,0.157182,1.352623,95.4100,0.474501,90.5900,7.68
75,0.0005000000000000001,0.747623,0.152782,1.342464,95.5180,0.470385,90.6200,7.98
76,0.0005000000000000001,0.750261,0.153864,1.346658,95.4840,0.470367,90.5500,7.95
77,0.0005000000000000001,0.757979,0.159101,1.356858,95.3820,0.469983,90.6900,7.87
78,0.0005000000000000001,0.751939,0.154242,1.349636,95.5020,0.471377,90.7000,8.34
79,0.0005000000000000001,0.740565,0.147717,1.333413,95.6300,0.471072,90.6500,8.42
80,0.0005000000000000001,0.746934,0.154644,1.339224,95.3420,0.474451,90.6700,8.50
